g,c,c,c,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h
1998.2,2167.2,2354.9,2503.1,2807.5,2977.5,3136.5,3293,3479.7,3629.4,3776.2,3910.9,4059.2,4202.6,4346.4,4496.7,4586.4,4682.2,4812.4,4901,5025.3,5149.4,5288.6,5405.3,5473.2,5636.4,5777.6,5918,6070,6158.3,6262.7,6386.8,6481.6,6603.6,6730.3,6861.7,6975.8,7049.6,7202.1,7342.2,7494,7580.9,7679.2,7812.1,7907.4,8033.8,8158.9,8296.6,8409.8,8483.8,8655.3,8787.9,8923,9038.5,9183.4,9328.5,9464.7,9613.1,9761.4,9917.5,10068,10155,10260,10406,10502,10627,10757,10898,11014,11089,11254,11400
2031.8,2203.5,2396.9,2545.6,2871.4,3033.4,3202.2,3352.6,3540.2,3690.8,3835.9,3973.4,4121.4,4280.3,4426.3,4554.6,4648.9,4751.1,4867.5,4990.8,5118.2,5207.6,5341.4,5465.9,5540.8,5700.4,5857.5,5994.8,6128.3,6224.5,6328,6440.5,6569.6,6696.2,6794.9,6918.5,7036.1,7115.2,7262.6,7420.8,7552.5,7644.7,7744.1,7868.7,8002.4,8123,8218.7,8351.8,8472,8550.3,8712.7,8828.7,8955.7,9102.7,9248.9,9390.4,9543,9695.7,9843.8,9994.9,10126,10223,10326,10453,10593,10723,10820,10952,11075,11153,11311,11438
