c,c,b,b,b,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,l,l,e,g,b,b,b,b,b,b,b,b,b,b,b,b,b,g,g,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,d,k,l,b,g
1576.3,1710.6,1850.3,1994.6,2145.3,2331.5,2520.1,2696.9,2826.3,3011.9,3193.1,3354.2,3505.5,3666.6,3816.9,3963.6,4098.7,4241.8,4408.4,4563,4696.2,4834.8,4990.6,5074.9,5178.1,5304.8,5396.2,5518.3,5646,5782.2,5899.2,5972.1,6157.3,6354.7,6493.7,6608.2,6760.4,6895,7031,7173.1,7309.9,7448.9,7594.6,7737.9,7880.1,8039.1,8157.5,9123.2,9275.3,9412.1,9543,9677.2,9835.1,9967.1,10101,10230,10406,10530,10667,10814,11101,11241,11382,11510,11643,11792,11938,12086,12238,12324,12422,12551,12642,12751,12890,13023,13136,13210,13386,13525,13656,13779,13915,14039,14155,14226,14433,14586
1602.6,1738.8,1890.5,2065.7,2214.6,2398.4,2544.2,2727.6,2888.7,3075.9,3232.2,3399.9,3560.8,3722.8,3875.5,4023.7,4159.5,4302.2,4469.8,4625.2,4774.8,4913.8,5045.2,5141.9,5250.2,5354.3,5489.9,5608.6,5706.1,5836.3,5955.4,6035.6,6218.7,6395.9,6532.3,6662.7,6814,6953.5,7100.6,7251.2,7381.8,7519.1,7665,7804.2,7946.1,8104.8,8245.5,9165.2,9317.9,9457.4,9586.9,9723.3,9866.4,10008,10165,10301,10450,10599,10735,10872,11164,11306,11449,11575,11722,11872,12024,12168,12295,12391,12493,12607,12737,12857,12952,13081,13200,13275,13444,13561,13690,13841,13957,14102,14219,14303,14477,14627
