c,b,c,b,b,g,c,g,c,g,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,e,e,e,e,e,d,k,l
276.81,414.97,567.97,746.62,947.16,1998.8,2178.9,3140.8,3289.5,3424.8,3576.6,3747.8,3909.9,4049.1,4190.8,4334.6,4475.2,4639.3,4728.2,4821.8,4959,5054.1,5182.3,5309.2,5447,5560,5635.6,5788.9,5929.4,6070.1,6217.6,6367.6,6523.9,6662.9,6796.5,6860.2
308.62,457.25,623.25,801.22,980.62,2035,2225.8,3179.4,3310.3,3473.1,3633.6,3804.9,3969.2,4112.2,4250.8,4413.3,4552.6,4693,4790.2,4893.2,5011.1,5148,5274.6,5367.8,5500.7,5618.6,5696.7,5848.4,5991.7,6136,6281.3,6433.7,6588.8,6718.8,6843.7,6966.2
