c,g,e,e,e,e,e,j,b,b,b,b,b,b,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,g,b,e,h,g,b,e,e,e,e,j,j,j,i,l,l,d,f,f
2870.3,3056.7,3196.7,3335.7,3479.2,3624.6,3764,3910.6,4076.1,4186.2,4321.8,4458.5,4610.6,4764.5,4897.7,5034,5189,5334.8,5477.7,5625.1,5767.3,5902.4,6047.1,6130.2,6229.2,6356.8,6447.1,6568.9,6692.7,6819.2,6940.4,7010.2,7155.6,7287.5,7428.4,7572.3,7804.2,7938.3,8077.3,8225.4,8353.3,8484,8631.5,8773.2,8921,9003.9,9103.2,9231.7,9322.3,9446.7,9571.1,9706.4,9825.4,9895.1,10049,10180,10324,10476,10561,10663,10794,10886,11011,11143,11363,11517,11641,11774,11942,12105,12224,12368,12517,12646,12780,12934,13086,13239,13321,13421,13550,13639,13766
2914.2,3102.9,3262.3,3407.7,3543.2,3685.2,3830.3,3981.3,4124.4,4252.2,4390,4530.2,4684.6,4833.3,4961.8,5106.8,5264.3,5408.6,5547.2,5691.2,5845.1,5981.2,6108.3,6200.8,6298.9,6409.5,6539.7,6659.1,6754.7,6874.7,6991.1,7064,7218,7363.7,7510.6,7652.3,7859.2,8005.3,8143.8,8288.4,8422.3,8560.5,8711.2,8855,8981.6,9071.7,9175.1,9284.4,9415.8,9541.5,9635.4,9761.7,9886,9962.4,10111,10263,10405,10538,10629,10734,10852,10977,11106,11206,11405,11562,11702,11818,11983,12148,12290,12431,12580,12710,12860,13018,13168,13300,13391,13494,13607,13734,13822
