h,c,c,c,c,b,b,b,c,c,c,e,g,g,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,h,g,b,b,b,b,b,b,b,b,b,e,e,e,j,j,j,j,j,i,l,l,d,f,g,g,g,e,g,c,b,c
1996.6,2164.4,2320.4,2479.3,2630.8,2761,2892.1,3038.4,3212.5,3359.7,3693.6,3861.8,4050.1,4201.8,4366.9,4542.7,4698.9,4845.5,4985.9,5142.8,5295,5451.7,5537.7,5636.4,5765.6,5862.7,5989.2,6117.7,6249.5,6365.7,6436.9,6660.2,6824.2,6987,7134.4,7255.2,7387.1,7530.4,7664.8,7803,7951.1,8097.8,8238.2,8373.2,8504.9,8642.4,8780,8929.9,9080.2,9225.2,9366.4,9514.4,9596.2,9697,9827.7,9918.4,10051,10309,10471,10630,10764,11029,11152,11274
2029.3,2198.3,2359.6,2525,2673.4,2823.8,2961.5,3105.9,3285.9,3433,3741.5,3922.1,4101.3,4260,4425.4,4600.8,4756.7,4904.6,5066.6,5221.8,5373.6,5510.1,5608.7,5705.9,5818.8,5948.2,6086,6182,6301.1,6423.5,6502.1,6697.7,6854.2,7031.1,7172.1,7319.4,7458.5,7601.7,7737,7869.8,8028.1,8169.5,8298.7,8436.6,8564.4,8705.7,8859.5,9010.5,9161,9305.8,9444.4,9574,9665.8,9765.2,9879.6,10010,10081,10348,10516,10691,10815,11070,11178,11320
