c,c,c,c,c,c,c,c,b,b,b,g,g,g,e,e,e,g,c,b,b,b,b,b,b,c,e,e,e,e,e,e,e,j,j,i,c,e,h,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,b,e,h,d,k,l,e,h,c,g,h,g,g,g,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,g,g,c,b,b,b,e,e,j,j,j,i,l,l,d,f,f
2307,2467.5,2617.5,2771.6,2906.6,3068.4,3263.3,3426.3,3590.7,3762.6,3947.6,4159.6,4322,4493.1,4654.7,4831.6,4991.1,5188.4,5332.7,5478.3,5622.5,5760.7,5903.6,6055.8,6196.5,6363,6517.6,6672,6820.4,6972.2,7117.4,7261.5,7407,7552.2,7698.2,7872.2,8180.9,8318.6,8462.9,8615.5,8743.4,8889.8,9025.1,9168.4,9321.4,9407.7,9505.4,9632.1,9724.4,9847.7,9973.8,10110,10224,10297,10456,10579,10695,10767,10945,11074,11220,11338,11452,11523,11698,11826,11958,12101,12244,12386,12539,12703,12859,13007,13141,13270,13416,13569,13725,13811,13911,14041,14135,14261,14396,14533,14646,14720,14946,15080,15205,15349,15505,15658,15775,15914,16058,16205,16355,16489,16639,16788,16944,17031,17134,17262,17356,17484
2339.4,2503,2657.8,2812.6,2964,3122.4,3308.6,3489.4,3662.5,3829.4,4017.7,4188.4,4372,4539.2,4718.4,4899.5,5051.2,5240.9,5391.8,5545.5,5693.1,5830,5972.4,6120.8,6270.8,6431.5,6581.2,6733.4,6883,7035.4,7184.9,7321.9,7473.6,7631.8,7780.5,7960.1,8228.7,8377.7,8501.2,8666,8811.8,8958,9119.9,9249.1,9381.3,9476.3,9577,9683.7,9816,9938.9,10037,10168,10287,10365,10513,10634,10759,10838,10994,11139,11259,11391,11513,11594,11753,11867,12004,12152,12284,12414,12579,12755,12922,13076,13208,13352,13496,13650,13786,13880,13983,14095,14230,14359,14461,14592,14712,14787,14990,15121,15271,15388,15544,15706,15843,15979,16129,16272,16420,16569,16718,16871,17006,17102,17206,17317,17449,17574
