b,b,b,h,c,b,c,b,b,g,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,g,b
91.312,234.16,395.28,1993.3,2167.3,2660.7,2813.2,2988.2,3170.7,3610.1,3784.4,3928.4,4085.9,4240.5,4384.5,4520.7,4668.7,4814.3,4903,5002.8,5125.8,5216.5,5341.3,5469.2,5604.5,5722.8,5796.4,5944.4,6067.3,6183.7,6253.7,6410.2,6579.1,6738.7
139.78,287.28,434.97,2018.5,2197.3,2697.2,2860.8,3024.1,3194.9,3646.1,3837.7,4002.8,4146.9,4301,4445.9,4594.7,4739.3,4873.1,4965.8,5065.4,5180.5,5307,5431.3,5530.3,5659.8,5782.3,5858.8,6005.3,6120.8,6242.7,6320.7,6470.8,6633,6777.8
