c,c,c,c,c,b,b,b,b,c,b,b,g,g,e,e,e,e,e,e,e,j,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l
2310.4,2477.4,2624.7,2762.4,2898.8,3055.3,3211.9,3375.6,3518,3682.5,3836,4044.8,4266.2,4418.8,4580.9,4740.7,4888.4,5032.3,5177.9,5320.8,5475.9,5621.8,5802.5,5922.8,6067.9,6204.5,6344.3,6491.4,6639.7,6800.8,6942.5,7090.6,7252.1,7387,7536.1,7675.9,7821.2,7963.8,8108.7,8191.7,8294.6,8423.8,8514.6,8643.3,8770.3,8903.4,9018.6,9091.7,9245.4,9378.9,9500.3,9572.5,9733.8,9877.3,10027,10180,10266,10367,10499,10591,10717,10845,10978,11094,11165
2343,2498.7,2669.1,2798.5,2941,3112.6,3273.7,3439.1,3585.7,3745.9,3918.9,4114.3,4309.7,4463.3,4638.4,4799,4947.3,5095,5239.3,5383,5538.1,5693.9,5847.9,5989.4,6132.9,6277.1,6418.3,6567.3,6712.7,6871.6,7013.2,7163.6,7314.1,7452.1,7595.7,7750.2,7899.2,8042.8,8168.7,8258.7,8365.6,8472.4,8608.5,8734.9,8831.2,8958.8,9080,9156.7,9302.5,9431,9561,9640.2,9793.1,9959.3,10106,10240,10334,10434,10553,10682,10811,10905,11032,11157,11234
