g,g,c,c,g,g,g,c,c,g,c,c,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,g,e,h,g
485.56,637.22,963,1132.4,1996.2,2151.6,2313.8,2506.2,2653.2,2837.8,2984,3127.6,3277.2,3425.6,3596.4,3772.5,3928.2,4085.2,4240.2,4384.8,4515.2,4659.8,4802.2,4952.3,5097.4,5251.5,5340.5,5441.1,5566.2,5660.4,5787.2,5916.9,6055.7,6164.7,6239,6432.3,6553,6685.1,6801,6918.4,6992.2,7154.4,7288.7,7437.2,7576.9,7726.8,7813.1,7909.6,8035.8,8128.3,8251,8376.8,8506.5,8621.3,8694.2,8893.2,8993.4,9123.8,9250,9371.7,9513,9659.4,9788.7,9948.8,10031,10133,10260,10353,10477,10608,10740,10859,10933,11135,11425,11562,11734
520.81,673.03,994.97,1163.3,2041.9,2195.9,2358,2543,2703.9,2880.2,3029.3,3159.9,3325.9,3488.3,3658.8,3837.5,3985.6,4147.5,4302.1,4458.8,4575.2,4719.1,4882.1,5029.6,5176.3,5308.8,5402,5505.3,5618.2,5753.2,5879.2,5977.1,6106.1,6226.7,6305.9,6464.7,6612.6,6724.2,6859.6,6981.6,7059.2,7218.5,7368.3,7515.4,7653.1,7787.7,7876.6,7982.9,8095.1,8220.9,8342.8,8438.2,8564.2,8680.8,8758.2,8917.2,9057.1,9163.7,9287.1,9437.8,9580,9721.8,9869.7,10007,10102,10201,10322,10443,10571,10673,10792,10918,10997,11177,11482,11602,11778
