c,c,c,c,b,b,b,g,c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,g,g,b,b,b,b,b,b,b,b,b,b,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d
2307.7,2464.6,2604.3,2742.2,2885,3047.5,3202,4188.4,4331.2,4545.6,4716.8,4875.4,5020.9,5133.7,5315.1,5464.6,5618.8,5795.6,5942.4,6078.6,6223.2,6379.8,6530,6663,6796.3,6932.5,7065.5,7197.5,7342.9,7489.6,7642,7726.2,7821.7,7947.4,8038.1,8162.2,8289.3,8424,8538.9,8611.2,8790.6,8923.6,9061.4,9197.5,9340.6,9478.2,9617.5,9746.9,9968.6,10085,10221,10361,10496,10643,10786,10922,11081,11223,11357,11505,11651,11797,11947,12032,12131,12258,12350,12477,12603,12736,12848,12918,13071,13207
2348.3,2502.8,2651.5,2795.9,2948.4,3115.3,3270.7,4222.9,4364.4,4576.3,4754.3,4915.7,5104.8,5230.6,5381.4,5532.8,5684.8,5859.4,6006.8,6147.9,6287.2,6444.1,6592.6,6721.1,6858.6,6993.4,7129.5,7274.9,7423.5,7570.5,7701.5,7791.7,7893.6,7998.9,8132.8,8256.9,8349.9,8478.7,8598.1,8678.5,8852,8963.2,9086.9,9240.7,9379.9,9518.6,9666.4,9810.7,10024,10154,10289,10429,10570,10714,10850,10995,11144,11285,11435,11585,11734,11877,12003,12099,12201,12314,12446,12574,12666,12789,12909,12985,13129,13259
