c,c,c,c,c,c,b,b,c,e,e,e,e,e,i,b,b,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,g,c
2190.2,2339.4,2495.2,2652.8,2799.5,2959.2,3123.4,3285.5,3475.2,3618.6,3789.8,3939.8,4113.4,4268.3,4443.1,4661.8,4793.5,4951.3,5105.4,5263.6,5398.4,5539.4,5681,5829.1,5914.7,6014,6141.8,6235.5,6360.3,6487.3,6624.8,6715.9,6811.8,6963.9,7094.9,7240.9,7391.2,7478.8,7574,7704.2,7796.3,7922.2,8048.5,8184.2,8301.5,8373.8,8529.3,8667.2,8812.7,8965.4,9052,9151.8,9283.5,9377.9,9504.3,9635.6,9776.2,9895.8,9966.5,10130,10260,10419,10540,10689,10841,10979,11118,11266,11419,11578,11663,11766,11903,11995,12123,12254,12418,12585
2218.5,2372.5,2537.2,2689.9,2843.3,3007.8,3181.9,3326.5,3512.3,3687.8,3854.2,4005.7,4174.6,4342.6,4480.3,4714.3,4860,5017.2,5177.9,5336.7,5474.5,5621.7,5761.8,5888.5,5981.8,6084.7,6196.1,6326.7,6451.9,6550.9,6678.2,6801.2,6881.7,7028.1,7175.7,7320.2,7448,7540.5,7639.3,7760,7885.9,8013.6,8108.7,8238.4,8361.8,8439.7,8593.2,8748.7,8891.2,9027.2,9120.5,9219.5,9338.2,9468.6,9595.1,9699.1,9835.3,9960.4,10038,10189,10298,10455,10601,10751,10903,11048,11198,11349,11500,11638,11733,11837,11957,12089,12216,12318,12456,12629
