g,c,c,c,c,c,b,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,g,g,g,g,e,b,b,b,c,e,e,j,j,j,i,l,l,d,f,f,i,b,e,h,b,e,e,e,j,j,j,j,i,l,l,d,f,f
1994.6,2165.8,2345.5,2520.2,2852.5,2993.7,3169.3,3307.7,3477.5,3625.6,3796.5,3955.7,4139,4299.5,4478.7,4637.1,4782.5,4926.2,5076.3,5222.2,5367.9,5512.3,5651.7,5810.7,5961.3,6050.2,6150.2,6277.6,6370.8,6505,6683.8,6821.2,6986.1,7130.7,7284.1,7440.8,7528.4,7629.2,7760.9,7851.9,7979.4,8106.6,8242.7,8355.1,8428.7,8588.7,8728,8847.1,8919.3,9078.8,9228.4,9386.2,9476.4,9577,9703.1,9796.6,9923.3,10053,10189,10307,10379,10579,10729,10887,11041,11204,11353,11487,11625,11791,11924,12068,12197,12348,12491,12645,12731,12835,12967,13060,13189,13315,13474,13619,13755,13898,14021,14161,14299,14432,14581,14730,14885,15044,15129,15236,15367,15461,15592
2020.9,2201.9,2377.2,2555.4,2893.5,3029,3208.8,3367.6,3542.2,3695.8,3876.5,4026.8,4200.4,4363,4536.9,4705.7,4843.9,4991.7,5136.7,5284.3,5427.5,5576.9,5733.8,5887.1,6021.8,6118.3,6216.2,6326.7,6463.8,6593,6726.1,6883.9,7049.5,7211.9,7361.7,7500.9,7595.9,7702.9,7812,7944.4,8072.6,8166.1,8294,8412.6,8499.4,8651.8,8785.1,8906.5,8987.1,9138.3,9307.8,9446.4,9540.5,9642.7,9754.4,9891.9,10016,10115,10242,10369,10445,10615,10769,10935,11086,11235,11400,11556,11700,11846,11990,12136,12278,12428,12573,12706,12799,12902,13016,13156,13281,13379,13533,13679,13795,13941,14086,14223,14362,14511,14663,14815,14968,15105,15199,15300,15423,15553,15687
