h,c,c,c,c,c,b,b,b,b,b,g,g,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,g,h,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,c,g,g,b,e,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l
1998.7,2143.3,2297.4,2457.7,2625.1,2759,2910.7,3077.3,3232.8,3391.2,3554.1,3806.6,3960.3,4112.2,4261.8,4415.9,4555.5,4706.1,4851.5,4990.8,5146.3,5281.2,5428.1,5589.3,5676,5780.4,5912.7,6005.1,6128.8,6261.4,6417.7,6531.6,6605.2,6769.9,6910.5,7025.5,7146,7215.8,7378.8,7510.4,7658.3,7807,7892.8,7990.1,8126.9,8219.6,8343.3,8471.4,8608.3,8732.8,8804.1,8958.9,9102.4,9238.4,9359,9495.4,9644,9802.8,9940.8,10079,10221,10361,10500,10647,10799,10884,10992,11120,11215,11343,11474,11614,11732,11800,12007,12141,12316,12470,12597,12745,12894,13037,13179,13319,13451,13610,13696,13801,13929,14023,14152,14283,14421,14538,14611
2032.8,2175.1,2335.1,2494.4,2675,2827.3,2977.4,3145.6,3311.8,3464.4,3621.3,3854.3,4016.9,4173.1,4322.2,4477.5,4617.8,4768,4910.3,5053,5212.9,5357.7,5509.6,5650,5744.5,5851.9,5965.8,6099.5,6226.2,6325.2,6470.9,6590.9,6671.4,6828,6947.5,7082.4,7208.9,7287.2,7439.2,7589.7,7736.1,7867.7,7963,8059.9,8180.4,8309.1,8436.5,8534.4,8666.3,8780.7,8852.7,9020.6,9138.1,9278.3,9420.1,9532.4,9684.7,9836.9,9995.7,10138,10282,10423,10580,10729,10858,10954,11057,11173,11309,11436,11538,11672,11785,11872,12047,12190,12361,12517,12659,12813,12958,13098,13241,13384,13531,13672,13767,13872,13985,14119,14247,14345,14476,14604,14677
