k,g,c,c,c,c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f
1996.7,2108.1,2463.1,2624.9,2776,2934.3,3071.9,3206.7,3363.1,3520.4,3679.6,3842.6,4007.1,4162.3,4326.6,4471.6,4629.5,4774.6,4915.4,5058.8,5209.6,5353.3,5491.5,5624.7,5763.2,5899.4,6051.1,6199.2,6356.3,6441.3,6538.9,6667.4,6758.9,6884.6,7010.4,7145,7267.5,7336.4,7488.6,7620.8,7727.6,7841.8,7911.2,8066.8,8205.9,8353.8,8499.7,8645.5,8794.4,8878.9,8980.8,9106.7,9198.2,9322.4,9448.8,9585.5,9700.5,9772,9923.8,10055,10189,10307,10449,10588,10721,10849,10996,11149,11303,11390,11490,11621,11713
2039.1,2129.8,2494.8,2663,2813.6,2975.1,3116.1,3252.5,3423.1,3590.1,3754.7,3909.8,4078.1,4230.9,4396.2,4545.8,4696.6,4841.7,4988.4,5118.9,5271.4,5416.2,5556.9,5688.4,5826.3,5980.5,6129.8,6280.2,6415.4,6509.6,6610.9,6724.7,6853.4,6979.8,7073.4,7199.8,7314.2,7386.2,7553.1,7659.4,7782.4,7899.4,7980.5,8127,8287.6,8432.8,8581.5,8724.8,8851.9,8947.9,9051.6,9163,9290.7,9417,9514.6,9640.9,9761.7,9854.2,9987.1,10095,10229,10370,10515,10652,10787,10928,11076,11229,11363,11457,11564,11678,11752
