c,c,c,c,c,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2664.4,2819.2,2969.2,3100.9,3268.4,3417.1,3567.2,3735.2,3919.1,4077.1,4223.9,4476.3,4639.4,4798,4956.5,5102.2,5283.7,5449,5586,5741.9,5826.9,5925.7,6288.6,6444.8,6592.3,6727.2,6870,7021.3,7109.8,7208.7,7333.1,7425.2,7553.5,7676.9,7811.4,7925.8,7997.7,8161.8,8298.2,8435.4,8583.9,8731.6,8818.1,8918.9,9044.7,9138.5,9265.8,9395.7,9530.3,9645,9712.4
2694.9,2859.2,3010,3144.4,3323.3,3462.7,3624.4,3783.7,3953.4,4118.9,4282.6,4534.7,4710.5,4858.8,5015.7,5159.9,5346.2,5523.4,5665.8,5801.1,5893.1,5989.6,6354.6,6505.4,6653.6,6802.2,6947.6,7083.2,7173.4,7273.2,7383.5,7513.4,7646,7739.3,7868.2,7990,8064.4,8220.1,8375.6,8515.7,8663.8,8790.1,8882.8,8980.7,9102.8,9229.6,9357.2,9455.2,9587.3,9706.9,9818.7
