c,c,c,c,c,c,c,c,b,b,b,b,g,e,e,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,c,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l
1802.1,1981.2,2124.7,2284,2482.3,2624.2,2754.3,2894.6,3077.1,3237.3,3377.6,3536.3,3741.1,3912.2,4064.5,4213.4,4380.1,4537.1,4696.7,4862.4,5015.1,5159.8,5311.9,5449.8,5598.9,5742.7,5893.9,5980.3,6084.3,6207.6,6296.5,6423.5,6552.8,6684.9,6798.4,6872.2,7023.2,7160.3,7279.1,7349.2,7508.2,7645.6,7794.3,7939.5,8081.9,8164.3,8266.9,8394.5,8487.3,8611.5,8739.8,8875.3,8991.9,9066.1,9224.9,9356.2,9473.2,9589.2,9660.2,9822.3,9953.2,10057,10180,10322,10464,10606,10739,10889,10974,11077,11205,11296,11419,11545,11676,11800,11870
1841.2,2016.2,2168,2332.1,2528.1,2666.9,2806.3,2969,3141,3307.6,3444.5,3605.2,3788.3,3971.8,4124.6,4279.2,4439.1,4595.6,4757.4,4922,5077.6,5222,5374.2,5526.7,5677.1,5816.8,5953.4,6045.7,6146.1,6264.1,6389.1,6520.3,6616.2,6740,6857.2,6940.8,7082.3,7219.3,7336.7,7417.5,7572.7,7724.5,7873.1,8020.4,8141.4,8231.7,8336.3,8449.3,8579.5,8706.2,8803.9,8932.8,9050.1,9146.8,9279.9,9395.7,9529.5,9648.3,9725.9,9883,9993.2,10098,10248,10386,10528,10670,10817,10945,11042,11143,11256,11388,11512,11606,11730,11847,11913
