g,g,g,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,j,i,l,l,d,f
4890.6,5056.6,5228.9,5536.4,5682.3,5829.5,5969.1,6105.1,6244.6,6392.4,6546.3,6629.3,6730.1,6852.6,6944.7,7066.4,7193,7326.5,7439.3,7512.6,7666.6,7796.3,7936.2,8087.9,8236.9,8325.2,8423,8549.5,8640.2,8763.1,8889.9,9021,9141.1,9209.6,9437.9,9595.2,9708,9855.8,9983.6,10094,10228,10365,10501,10633,10774,10923,11071,11216,11301,11400,11526,11615,11738,11864,11989,12103,12176,12360,12469,12599,12710,12824,12900,13054,13182,13334,13484,13634,13717,13821,13946,14040
4929.4,5097.3,5274.8,5593.1,5742,5889.6,6033,6165.7,6316.9,6469.2,6603.5,6692.2,6790.6,6905.5,7032.4,7160.3,7254.7,7376.3,7499,7575.6,7721.8,7873.8,8015.6,8168.5,8296.2,8390,8488.8,8597.9,8730.4,8857.8,8951.6,9076.8,9183.3,9262.1,9477.8,9629.4,9762.5,9893.7,10014,10155,10292,10429,10566,10711,10857,10999,11150,11276,11370,11466,11582,11706,11831,11926,12042,12163,12245,12386,12528,12640,12768,12882,12962,13113,13263,13414,13561,13690,13790,13888,13993,14079
