g,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
1998,2159.2,2285.3,2415,2561.4,2709.2,2860.8,3026.2,3169,3314.4,3469.1,3773.9,3923.2,4060.7,4200,4338.8,4478.3,4611,4757.1,4901.5,5042.9,5130,5231.8,5353.3,5443.2,5569,5694.8,5830.3,5938.5,6014.5,6168,6296.8,6441.2,6591.9,6745.3,6890.5,6977.8,7075.2,7206.2,7296.9,7421.7,7549,7684.5,7806.1,7875.5,8025.1,8159.7,8309.4,8441.1,8563.2,8714.1,8851.1,8988.3,9120.1,9267,9418,9567.2,9656.1,9756.2,9884.8,9977.2,10105,10234,10372,10487,10559
2037.9,2190.8,2321.3,2457.3,2618.8,2775.8,2925.3,3090.4,3236.7,3384,3541.9,3843.3,3988.3,4125.2,4272.8,4399.7,4540.3,4689,4833.1,4978.3,5099.7,5196.6,5291.8,5411.5,5533.5,5660,5756.1,5906.7,5999.9,6080.8,6227.8,6375.9,6519.2,6669.2,6820.6,6949.8,7044,7142.3,7262.3,7391.2,7514.8,7604.4,7738.1,7848.6,7930,8083.7,8203.5,8340.8,8486.9,8622.6,8776.3,8911.6,9051.3,9201.2,9346.1,9497.9,9628.3,9725.1,9823.1,9942.8,10073,10202,10293,10425,10551,10626
