c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,g,c,g,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,c,e,h,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
2539.6,2676.2,2848.3,2995.8,3139.5,3272.6,3425.1,3604.8,3751.9,3937.9,4087.4,4236.8,4386.5,4538.6,4686.8,4829.8,4978.7,5110.4,5258.4,5346.4,5443.2,5568.1,5658.5,5780.2,5906.4,6051.4,6163.2,6235.5,6407.7,6537.8,6683.2,6836,6984.7,7070.7,7172.9,7296.6,7385.2,7512.1,7638.8,7769,7884.7,7956.5,8113.8,8250.2,8398.9,8520.2,8659.8,8808.9,8972.1,9106.5,9257.4,9387.9,9528.6,9675.8,9818.1,9964.2,10050,10153,10283,10373,10496,10623,10757,10881,10950,11172,11295,11426,11560,11686,11825,11966,12112,12246,12389,12541,12628,12727,12856,12950,13076,13206,13355,13469,13542
2570.9,2716.7,2888.5,3043.8,3189.2,3333.6,3491.2,3658.9,3813.1,4003.1,4147.1,4296.7,4443.7,4596.7,4750,4890.7,5054,5186.8,5315.4,5406.3,5506.8,5617.7,5747.8,5871.5,5963.2,6101.9,6223.5,6298.2,6468,6614.1,6759.7,6911.3,7042.6,7137.5,7234.5,7350.4,7477,7603.1,7698.7,7820,7943.3,8020.2,8172.2,8284.2,8444.5,8582.3,8702.9,8847.2,9000.6,9155.2,9300.6,9450.1,9605.9,9754.9,9897.2,10024,10119,10220,10339,10462,10590,10683,10813,10928,10997,11208,11355,11463,11601,11748,11888,12025,12174,12323,12465,12599,12691,12794,12909,13043,13168,13263,13411,13528,13609
