b,b,g,c,c,b,b,b,b,c,b,b,b,b,b,b,b,e,e,g,e,e,e,e,j,j,i,l,l,d,f,f,i,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g,h,g,g,h,h,g,g,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,d
290.78,467.75,1998.1,2138.4,2289.4,2420.1,2566.2,2725.9,2866.5,3010.6,3036.9,3156.2,3303.2,3431.1,3585.4,3724.2,3873.2,4039.5,4202.8,4303.7,4474.4,4626.7,4781.2,4924,5050.2,5202.3,5361.1,5451.7,5553.7,5685.7,5779.8,5903.2,6034.2,6201.9,6334.5,6481.1,6629,6782.3,6938.4,7023.7,7130.5,7259,7351.6,7478.7,7610.3,7737.8,7852.1,7929.4,8126.8,8284.3,8444.7,8597.1,8724.4,8886.4,9034.5,9196.7,9369.7,9512.8,9630.8,9763.2,9905.9,10067,10231,10371,10525,10667,10808,10961,11108,11238,11408,11550,11688,11831,12009,12142
330.94,515.72,2027,2173.2,2324.4,2467.2,2634,2785.3,2931.7,3031.1,3078.2,3218.8,3363.3,3500.9,3649.2,3795.6,3938,4101.1,4267.6,4400.8,4538.7,4691.4,4845.4,4992,5128.8,5282.7,5416.4,5515.3,5618.6,5735.3,5874.5,5996.3,6095.6,6249,6398.2,6563,6713.8,6865.9,6996.4,7097.6,7199.7,7309.2,7444.6,7575,7670.8,7792.1,7911.8,7992.3,8166.1,8333.8,8481.4,8642,8782.5,8912.4,9065.9,9238.5,9411.6,9560.5,9695.7,9829,9976.5,10127,10279,10432,10590,10734,10877,11031,11181,11331,11474,11612,11751,11892,12072,12192
