e,g,g,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,e,j,j,i,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,h,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l
2326.3,2538.1,2732,2905.8,3094.5,3250.7,3390.3,3549.3,3693.9,3832.9,3969.5,4104.6,4255.8,4394.8,4477.6,4577.2,4701.5,4791.4,4916.6,5039.5,5176.9,5291.8,5359.3,5522,5655.5,5808.2,5951.2,6034.2,6131.3,6255.4,6345.2,6469.2,6594.3,6722.4,6834,6904,7057.4,7196.1,7336.9,7475.6,7604.2,7763.2,7907.1,7988,8087.5,8213.3,8304.7,8423.4,8550.1,8686.8,8803.3,8874.4,9026.1,9153,9303.4,9457.9,9540.2,9644,9774.7,9866.2,9989.4,10120,10253,10375,10445,10590,10720,10837,10908,11071,11200,11322,11390,11553,11691,11842,11958,12095,12231,12387,12541,12627,12723,12852,12943,13065,13193,13334,13454,13525
2388.3,2574.4,2778.8,2973.1,3152.5,3308.8,3453.1,3612.9,3756.5,3897.3,4044.3,4183.1,4333.1,4452.5,4544.2,4644.5,4752.2,4883.2,5009.6,5102.2,5233.3,5353.8,5426.3,5581.9,5735.7,5883.8,6008.5,6103.3,6199.8,6306.9,6437.2,6564.2,6658.7,6777.3,6896.1,6970,7118.1,7257.6,7415.6,7555.6,7696.3,7840.2,7963.2,8058,8157.5,8268.2,8393.9,8515.9,8611.9,8741.5,8863.9,8943.3,9089.1,9235.2,9385.1,9517.1,9610.7,9716.1,9826.5,9959.8,10085,10182,10306,10423,10497,10649,10780,10898,10979,11135,11257,11384,11461,11614,11735,11884,12021,12162,12311,12470,12602,12696,12793,12906,13035,13158,13254,13390,13517,13594
