c,c,c,c,c,c,c,g,g,c,c,g,e,e,e,e,h,b,b,g,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j
833.06,967.19,1121.7,1269.7,1418.9,1628.6,1779.1,1998.3,2151.7,2315.6,2491.5,3226.8,3396.5,3533.9,3689.7,3897.1,4060.3,4214.6,4387.8,4791.4,4938.4,5080.9,5221.8,5373.3,5522.2,5662.1,5798.8,5945,6035.2,6130.8,6256,6345.1,6465.3,6591.6,6722.3,6834.2,6905.8,7080.9,7211.4,7387.1
854.94,1000.1,1161.1,1304.6,1446.3,1657.3,1804.2,2040.6,2195.7,2358.9,2532.5,3271.7,3447.7,3590.8,3743.1,3950.4,4090.8,4240.6,4435.7,4834.2,4997.5,5140.2,5280.9,5432.8,5579.6,5737,5877.9,6002.8,6099,6195.9,6302.1,6435.2,6559.2,6646.8,6774.5,6892.6,6970.8,7140.4,7291.5,7463.7
