g,c,c,g,c,c,c,c,c,b,b,c,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,g,b,b,b,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,g,b,e,e,e,j,j,i,l,l,d,f,f
1998.8,2184.4,2342.7,2759.5,2925,3082,3265.2,3458.5,3637.1,3786.7,3940.8,4157.9,4320.7,4496.9,4637.6,4788.6,4944.9,5113.4,5271.5,5416.8,5565.8,5719.1,5873.6,6018.3,6103.1,6202.2,6328.2,6416.6,6538.9,6665.8,6806.3,6923.7,6992.3,7151.6,7312.4,7451.5,7573.3,7697.8,7840.6,7977.2,8109.6,8249.2,8390.6,8533.3,8673.8,8814.6,8966.1,9051.1,9147,9274.2,9365.7,9488.4,9614.6,9749.1,9857.6,9936.1,10092,10222,10338,10407,10567,10700,10862,11000,11123,11267,11426,11565,11714,11870,11955,12051,12182,12272,12403
2034.5,2218.3,2384.2,2802.7,2970,3128.6,3304.6,3523.6,3700.5,3856.5,4010,4231.1,4377.9,4557.3,4697.7,4847.2,5004.9,5171.5,5331.2,5492.6,5645.8,5795.8,5952.7,6077.7,6172.9,6272.5,6380.1,6508.3,6632.3,6728.7,6862.1,6968.8,7043.8,7209.7,7348.3,7502.2,7635.9,7765.8,7909.1,8046.6,8183.2,8326.8,8466.3,8603.6,8754,8892.8,9026.8,9117.7,9218.5,9328.1,9456.6,9582.8,9679.6,9805,9923.3,10005,10155,10279,10401,10475,10633,10738,10900,11045,11185,11333,11494,11644,11796,11933,12025,12122,12232,12367,12456
