c,c,c,g,c,c,c,c,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,h,b,b,b,b,b,e,d,h,g,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,g,d,k,l,g,g,b,e,h,b,e,e,j,i,l,l,d,f,f,i,d,k,l,g,b,h
2444.9,2602.2,2748.7,3104.1,3279.3,3427.8,3582.8,3729.5,3880.9,4059.8,4217,4368.3,4518.1,4663.5,4825.8,4985.4,5156.4,5322.3,5489.4,5653.2,5810.3,5954.6,6100.8,6240.1,6383.3,6547.7,6675.9,6812.4,6958.3,7147.8,7301.9,7454.1,7631.1,7787,7940.5,8079.4,8224.9,8379.1,8525.2,8673.4,8818.7,8904.7,9005.8,9131.5,9223.2,9346.7,9476.7,9608.8,9725.3,9795.8,9950.2,10081,10230,10375,10523,10670,10819,10970,11055,11158,11288,11382,11508,11634,11772,11888,11961,12151,12294,12418,12561,12697,12828,12972,13119,13253,13389,13523,13667,13814,13965,14120,14205,14306,14440,14532,14657,14766,14930,15056,15126,15346,15514,15645,15766,15900,16028,16155,16300,16435,16588,16673,16779,16911,17004,17131,17266,17406,17519,17591,17826,17971,18101
2474.5,2634.1,2784.4,3143.6,3321.4,3474.3,3622.4,3772.3,3939.8,4123.8,4280.7,4430.7,4586.9,4736.1,4894.6,5052.7,5231.6,5395.4,5562,5714.6,5869.7,6017.2,6171.4,6301.7,6424.7,6602.3,6744.7,6884.6,7029.8,7212,7364,7503,7661.5,7830.1,8009.6,8155.2,8301.7,8455.2,8602,8748.2,8877.2,8970.2,9073.5,9185.3,9318.2,9440.6,9536.3,9665.4,9790.2,9864.7,10013,10161,10307,10454,10603,10749,10900,11031,11124,11228,11343,11473,11601,11696,11824,11944,12029,12188,12342,12478,12624,12759,12891,13035,13183,13315,13452,13598,13744,13898,14042,14180,14272,14375,14490,14621,14750,14851,14984,15113,15193,15387,15554,15684,15823,15939,16077,16222,16361,16516,16650,16743,16852,16962,17096,17227,17324,17458,17578,17656,17869,18022,18156
