g,c,c,c,c,b,b,c,b,b,c,e,e,e,e,e,g,b,b,b,b,e,e,e,e,j,j,j,g,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,b,e,h,d,k,l,e,h,g,b,e,h,g,g,g,g,h,b,b,b,b,b,b,c,c
1998,2159.7,2327.2,3452.6,3599.1,3760.4,3943.6,4081.1,4112.2,4269.8,4421.3,4614.3,4787.1,4938.5,5085.9,5244.9,5456.8,5738.5,5856.9,5999.1,6169.4,6320.4,6468.9,6625.2,6776.6,6908.8,7064.8,7218,7372.1,7461,7563.6,7690.5,7786.8,7917.1,8046,8181.7,8301.7,8372.8,8543,8676,8812.1,8940.2,9087.9,9229.9,9376.4,9509.4,9655.2,9804.3,9953.5,10110,10260,10347,10452,10579,10671,10798,10926,11061,11178,11254,11402,11535,11688,11845,11932,12032,12163,12257,12385,12517,12652,12767,12843,13187,13324,13436,13556,13631,13861,14032,14161,14290,14407,14525,14600,14759,14896,15043,15206,15328,15464,15760,15918,16076,16235,16383,16526,16669,16814,16967,17105,17256,17404,17538
2037.1,2186.3,2349.5,3473.5,3626.7,3813.9,3983.7,4107.1,4138.2,4321.4,4488.1,4676.1,4855.3,5011.8,5146.7,5313.9,5503.4,5782.9,5920.6,6063.1,6221.3,6384.6,6532.1,6688.7,6837.6,6992.3,7142.6,7300,7427,7526,7626.6,7739.9,7876.6,8010.9,8104.7,8239.3,8359,8438,8607.5,8719,8854,9008.6,9155.3,9294.8,9445.9,9591.6,9738.9,9885.3,10037,10187,10324,10414,10524,10632,10762,10891,10984,11117,11239,11324,11468,11620,11772,11905,12000,12104,12223,12350,12475,12579,12704,12829,12910,13243,13363,13498,13618,13697,13900,14078,14228,14334,14470,14587,14667,14823,14944,15082,15244,15396,15507,15808,15970,16118,16291,16424,16576,16740,16886,17040,17179,17322,17467,17590
