c,c,c,c,c,g,c,g,c,c,c,c,c,c,b,b,b,e,e,e,e,e,e,e,e,g,j,j,l,b,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,g,g,g,h,e,c,e,e,j,i,l,l,d,f,f,i,d,k,l,g,g,b,b,b,c,g,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g,g,g,b
1621.2,1786.5,1973.6,2152.4,2286.8,3309.2,3453.1,3625.6,3796.2,3978,4122.3,4279.8,4430.6,4615.8,4784,4947.5,5128.7,5307.5,5459.6,5604.6,5752.2,5913,6077.5,6233.7,6379.7,6537.9,6697.9,6840.8,7014.5,7153.2,7288.7,7427.1,7576.7,7725,7879,8031.4,8183.8,8331.4,8477,8565.4,8674.4,8810.8,8904.9,9033.7,9162.5,9299.9,9414.9,9489.2,9651.3,9803.4,9953.2,10110,10267,10421,10506,10611,10742,10836,10968,11104,11237,11356,11431,11604,11727,11864,11996,12122,12195,12385,12538,12699,12848,12991,13141,13276,13421,13568,13723,13811,13918,14052,14148,14276,14407,14556,14680,14751,14937,15107,15257,15394,15543,15704,15901,16066,16202,16352,16502,16649,16792,16946,17106,17261,17417,17505,17611,17742,17841,17976,18108,18252,18376,18449,18738,18924,19109,19292,19444
1650.4,1821.9,2009.4,2192.5,2334.6,3338.6,3487.9,3668.8,3838.3,4026.2,4173.5,4345.4,4497.5,4683.1,4855.9,5018.4,5200.2,5366.4,5530.5,5664.8,5815.7,5978.4,6137.9,6295.8,6439.9,6598,6777.5,6925.3,7042.2,7202.8,7354.3,7500.7,7651.8,7797.6,7944.7,8100.5,8260.9,8412.3,8539.8,8636.9,8743.8,8863.3,8996.7,9126.9,9229.6,9356.2,9481.1,9560,9714.1,9884.5,10037,10192,10350,10481,10575,10678,10799,10929,11065,11168,11296,11424,11498,11650,11791,11911,12054,12166,12240,12423,12575,12755,12888,13057,13191,13344,13485,13649,13786,13884,13989,14105,14241,14371,14472,14614,14743,14817,14980,15148,15320,15465,15609,15749,15945,16114,16269,16417,16567,16711,16873,17030,17186,17343,17479,17576,17685,17796,17932,18076,18176,18307,18440,18520,18775,18967,19157,19345,19475
