c,c,c,c,c,b,b,b,b,e,e,e,e,e,e,j,b,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2896.1,3032.6,3197.9,3330.5,3463.8,3618.7,3773.4,3934.9,4071.9,4231.8,4381.2,4518,4656.4,4796.8,4945.5,5098.3,5295.4,5403.2,5544.9,5684.8,5829.8,5974.2,6126.9,6277,6412.8,6564.5,6650.2,6747.5,6873.6,6964.5,7087.1,7212.6,7346.4,7459.7,7531,7683.8,7818.1,7966.3,8111.1,8260.4,8344.3,8444.7,8573,8664.1,8788,8913.6,9050.5,9182.1,9251.9
2935.8,3071.5,3242.7,3377.9,3528.3,3688.6,3847.9,3999.5,4139.6,4301.2,4442.1,4580.9,4716.7,4859.6,5009.2,5167.3,5340.8,5473.9,5615.9,5759.6,5901.4,6046.9,6192.4,6354.2,6489.5,6624.9,6719.5,6815.4,6924.6,7053.7,7177.9,7276,7400.9,7519.1,7601.3,7745,7899.4,8045.2,8189.6,8319.4,8412.9,8514.3,8625.9,8758.8,8882.1,8977.2,9101.2,9218.6,9302.2
