c,c,c,c,c,c,c,c,b,b,b,b,b,e,e,e,e,e,e,e,e,g,b,b,b,b,b,b,b,b,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h
1825.9,1976.6,2167,2326.7,2469.4,2627.3,2949.4,3100.2,3256.7,3415.2,3590.1,3747.1,3902.2,4080.8,4227.4,4372.4,4517.1,4659.4,4816.9,4958.3,5109.3,5262.5,5421.7,5548,5684,5818.8,5963.5,6115.8,6263,6399.3,6537.3,6686.4,6838.9,6986.8,7134.6,7284.1,7417.5,7559.9,7706.4,7853.8,8000.6,8082.5,8182.4,8307.4,8396.1,8520.4,8646.2,8782.5,8902.6,8965.1,9127.2,9255.6,9425.6,9586.4,9707.8,9833.7,9980.7,10126,10269,10353,10456,10589,10676,10802,10928,11057,11181,11250,11398,11535
1857.4,2013.9,2202.5,2363.9,2509.2,2666.7,3003.8,3157,3330.5,3488.8,3662.2,3814.9,3970.8,4141.8,4287.3,4435.4,4578,4720.9,4877.4,5021.4,5167.7,5314.7,5466.8,5615.1,5754.3,5889.9,6035.6,6180,6337.7,6469.6,6612.5,6763.2,6900,7050.1,7198.3,7346.3,7492.5,7640.8,7790.8,7932,8059.8,8150,8252,8361.2,8490.5,8612.2,8704.2,8836.1,8955.6,9031.9,9182.4,9294.9,9481.9,9633.8,9768.9,9912.7,10062,10206,10328,10423,10523,10636,10769,10894,10991,11113,11222,11299,11461,11570
