c,c,c,c,c,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h
4376.2,4522,4655.4,4818.1,4956.2,5080.1,5240.5,5373.4,5563.5,5725.1,5905.8,6050.6,6184.5,6345.4,6503,6648.5,6784.5,6930.6,7069,7198,7332.3,7464.9,7604.5,7751.3,7893.9,8045,8187.8,8277.6,8377.8,8498.8,8586.7,8716.7,8842.9,8976.5,9089.5,9161.8,9312.7,9434.2,9578.6,9730.8,9814.5,9913.1,10039,10131,10256,10381,10515,10628,10695,10852,10985,11110,11234,11374,11511,11640,11787,11931,12079,12166,12261,12390,12478,12600,12728,12865,12978,13050,13215,13351
4409.6,4559.8,4698.5,4852.5,4996.2,5130.7,5284.2,5439.2,5629.9,5793.2,5972.8,6105,6247.1,6410.4,6569,6721.5,6859.3,7004.3,7135.7,7259,7410.2,7532.3,7681.1,7827.8,7977.1,8123.3,8245.1,8343.4,8439.4,8549.4,8673.9,8805.8,8900.5,9034.3,9150.2,9225.5,9374.7,9512.7,9660.8,9791.5,9881.5,9978.5,10096,10221,10352,10445,10571,10686,10765,10913,11028,11154,11301,11441,11580,11715,11863,12006,12136,12230,12331,12442,12574,12697,12789,12920,13037,13119,13277,13392
