g,g,e,e,e,e,e,e,h,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f
3676.2,3872.8,4022.6,4193.1,4338.7,4501.1,4650.3,4815.8,5002.5,5143.8,5298.1,5439.2,5579.8,5725.5,5867.6,6002.2,6138.6,6282.8,6426.5,6512.5,6612.2,6736.5,6827.9,6951.7,7081.7,7214.2,7336.4,7405,7554.5,7679.9,7823.8,7974,8061.9,8160.5,8285.9,8381.2,8503.6,8636.5,8770.7,8887.1,8959.8,9118.6,9256.3,9404.6,9555.1,9642.2,9737.1,9865.5,9957.8,10088
3727.3,3920.8,4097.8,4264.6,4401.4,4581.3,4724.7,4880.2,5033.9,5187.2,5342.2,5486.8,5642.1,5793.7,5931.2,6068.9,6215,6360.2,6482.8,6578.4,6680.1,6789.8,6916.4,7043.1,7141.7,7265.2,7386.3,7469.6,7611.2,7760.5,7905.2,8034.8,8125.2,8226.8,8336.3,8468.3,8594.5,8698.6,8832.3,8949.3,9026.9,9186.4,9334.8,9484.3,9614.2,9708.3,9806.4,9921.7,10048,10128
