c,c,c,c,c,b,b,b,b,b,c,b,b,b,b,c,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2194.1,2346.2,2674,2818.4,3010.8,3159.2,3342.4,3520.7,3680.4,3850.1,3961.5,3988.3,4151.8,4262.9,4408.2,4603.6,4774.8,4941.8,5093.5,5236,5374.6,5521.4,5668.8,5826.2,5969.5,6108.8,6258.5,6413.5,6500.1,6599.7,6731.5,6828,6952.5,7087.4,7225.9,7344,7419.5
2217,2375.5,2706.6,2862.3,3053.1,3217.9,3379.4,3584.4,3744.4,3880.5,3982.8,4023.7,4181.9,4333.1,4481.8,4669.7,4834.5,5003.7,5155.8,5306,5434,5587.7,5730.3,5886.2,6042,6187.4,6338.7,6473.8,6566.7,6669.7,6786.7,6917.9,7045.6,7147.5,7282.3,7404.6,7481.9
