c,c,c,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h
2364.6,2515.4,2648.6,2829.1,2996.8,3140.2,3311.3,3470.8,3619.5,3783.7,3924.5,4079.8,4233.8,4382.3,4525.3,4671.2,4828.6,4982.1,5067.7,5172.4,5298.9,5391.5,5515.3,5642.2,5779.8,5903.8,5974.5,6135.1,6265.6,6418.7,6506.8,6602.4,6729.9,6821.9,6947.3,7074.3,7214.3,7326.7,7400.8,7558.5,7686.3,7797.1,7914.5,8056.5,8184.1,8299.1,8370.2,8533.3,8671.9,8811.3,8955,9040.8,9142.2,9268.6,9362.4,9484.6,9611.3,9745.4,9865,9935.6,10100,10233,10355,10480,10622,10763,10918,11003,11108,11235,11329,11455,11583,11726,11850,11920,12150,12299,12422,12575
2395.2,2552.4,2690.1,2894.8,3064.5,3206.5,3371.4,3536.2,3684.2,3842.8,3982.6,4141.2,4296,4441.6,4603.3,4748.2,4907.2,5037.6,5132.7,5237.9,5352.2,5482.2,5605.1,5701.7,5836.8,5946.5,6019.6,6196.1,6344.8,6474.5,6572.2,6671,6786.8,6916,7037.9,7139.4,7267.9,7387.7,7466.5,7622.1,7727.7,7842.1,7982.2,8122.7,8244.7,8357.6,8440.6,8595.9,8748.4,8891.7,9018.3,9110.8,9210,9320.2,9456.8,9580.6,9671,9805.7,9929.2,10009,10162,10273,10402,10547,10687,10842,10976,11071,11177,11287,11420,11546,11646,11784,11912,11990,12188,12343,12486,12616
