c,c,c,c,b,b,c,b,b,g,g,e,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,e,h,d,k,l,b,e,e,e,d,g,b,b,e,e,e,j,j,i,l,l,g
1830.6,1990.8,2140.8,2288.1,2443.8,2598.7,2790.3,2937.4,3113.4,3507.6,3645.7,3800.9,3952.5,4106.6,4256.6,4403.7,4542.2,4683,4832,4974.3,5123.7,5273.4,5424.2,5572.2,5661.2,5759.8,5883.1,5974.3,6100.9,6227.5,6367.6,6479.3,6552.9,6704.2,6835.8,6998.8,7140.2,7286.7,7436.5,7524.8,7623.1,7749.7,7840,7963,8089.7,8220.8,8334.1,8413.2,8574.6,8706.2,8815.2,8930.3,9003.7,9154.6,9294,9396.2,9510.6,9584.4,9738.5,9867.2,9991.4,10062,10214,10352,10507,10657,10741,10844,10976,11068,11194,11318,11452,11570,11644,11814,11947,12221,12359,12489,12608,12685,12867,12987,13132,13271,13410,13731,13896,14015,14152,14287,14421,14553,14705,14856,14944,15047,15206
1867.4,2037.1,2183.9,2338.9,2511.7,2665.2,2836.3,3005.4,3136.7,3543.3,3689.2,3859.4,4011.7,4165,4315.2,4465.8,4603.2,4747.2,4894.7,5039.4,5202.8,5352.2,5501.5,5628.6,5723.9,5822.5,5935.6,6065.4,6196.5,6286.4,6424,6536.5,6617.9,6765.2,6913.6,7076.4,7218.1,7362.8,7491.9,7586,7688.3,7801.9,7930.9,8055.8,8151,8274,8396.2,8475.5,8635.3,8746.1,8874.3,8986.8,9067,9214.6,9336.1,9448.4,9571,9648.5,9801.4,9926.4,10047,10126,10274,10431,10589,10716,10810,10913,11032,11163,11287,11382,11508,11632,11711,11864,11986,12280,12398,12546,12665,12747,12907,13051,13198,13336,13470,13771,13923,14073,14219,14353,14490,14632,14781,14913,15010,15114,15232
