g,c,c,c,c,b,b,b,b,b,e,e,e,e,e,e,j,j,j,b,b,b,b,b,b,b,e,e,j,c,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,g,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,d,k,l,e,h,g,g,g,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
3080.5,3259.9,3394,3543.7,3673.9,3814.8,3962.3,4140.8,4305.4,4475.7,4633.4,4777.3,4910.5,5049.8,5214.8,5384.4,5530,5672.3,5833.3,6015,6133,6271.8,6407.3,6541.1,6686,6851.2,6971.6,7111.2,7261.4,7467.8,7591.4,7739.5,7886.9,8017.8,8164,8309.1,8399.5,8496.7,8622.7,8713.4,8836.1,8958.9,9091,9201.7,9273.4,9431.1,9562.6,9706.7,9856.3,9941.3,10046,10173,10265,10387,10513,10648,10764,10836,11004,11125,11296,11375,11566,11701,11847,11992,12078,12177,12304,12397,12519,12648,12794,12910,12984,13170,13286,13420,13539,13609,13765,13892,14067,14223,14389,14539,14667,14829,14963,15101,15240,15403,15553,15640,15741,15872,15963,16085,16213,16350,16466,16538
3125,3293.7,3434.3,3583.1,3736.9,3884.8,4027.2,4200.7,4377.5,4540.2,4695.5,4838.1,4975.1,5114.8,5273.4,5448.6,5605.8,5750.8,5904.6,6060.4,6203,6343.5,6479,6609.2,6766.2,6895.9,7035.6,7174.6,7329.2,7515.7,7650.3,7802.1,7954.4,8096.7,8245.1,8367.4,8461.1,8565,8678.2,8803.8,8929,9016.7,9142.9,9260.6,9339.7,9491.7,9638.5,9788.4,9915.4,10008,10110,10227,10354,10482,10572,10703,10827,10909,11061,11170,11349,11480,11631,11783,11926,12051,12145,12246,12354,12489,12611,12711,12844,12973,13048,13206,13349,13474,13595,13675,13821,13934,14110,14274,14433,14584,14729,14891,15029,15180,15330,15482,15614,15708,15807,15925,16057,16181,16275,16405,16531,16608
