c,c,c,g,g,g,e,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,c,e
1823.8,1990.8,2143.6,2567.1,2732.2,3292,3442.5,3620.8,3781.5,3931.7,4068.6,4241.9,4352,4485.9,4649.9,4795.6,4947,5091.4,5233.8,5375,5503.4,5645.4,5788.9,5939.4,6025.8,6127.1,6262.2,6355.8,6482.3,6615.5,6751,6866.3,6940.2,7100.3,7234.5,7384,7539.8,7695.5,7781.5,7882.7,8015.1,8109.5,8232.7,8362.9,8497.3,8618.4,8692.3,8911.2,9031.1
1849.5,2032.2,2174.6,2607,2783.9,3344.3,3485,3648,3821.3,3966.8,4112.5,4277,4421.4,4554,4715.8,4860.8,5008.9,5151.6,5296.1,5436.6,5581.6,5719.8,5863.5,5996.7,6091.3,6190.1,6312.3,6444,6572.4,6675.2,6802.1,6926,7008.6,7161.5,7316.1,7460.4,7612,7752.5,7846.5,7947.9,8067.2,8200.1,8327.9,8422.8,8551.5,8676.3,8754.4,8938.3,9092.9
