g,c,c,c,c,g,c,c,c,b,b,b,b,b,b,c,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,e,e,g,g,g,b,g,h,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,g,l,l,d,f,f,i,d,k,l
1997.8,2128.9,2273.8,2406.4,2573,3197.2,3374.1,3501.4,3633.9,3796.2,3952.8,4114.9,4267.8,4407.2,4567.1,4742,4861.3,5013.5,5152.6,5307.3,5453.6,5596.5,5738.6,5881.3,6028.7,6113.8,6218.8,6348.8,6441.9,6567.1,6692.8,6831.4,6947.8,7020.7,7187,7313.8,7462.4,7590.8,7709.6,7849.7,8002.8,8275.4,8425.1,8578.8,8718.2,8857.4,8986.6,9116.3,9249.3,9380.6,9529.4,9662.2,9797.5,9933.8,10070,10215,10359,10501,10636,10764,10911,11056,11206,11357,11443,11540,11669,11760,11885,12013,12150,12269,12341,12494,12622,12766,12925,13009,13111,13247,13341,13463,13593,13730,13849,13915
2031.5,2159,2308.2,2448.1,2613.6,3238.6,3417.6,3545.7,3690.9,3872.6,4022.6,4190.6,4357.8,4483.2,4638.9,4807.3,4925.1,5072.4,5209.3,5369.8,5512.8,5656.9,5818.1,5958.3,6089.4,6184.7,6287.7,6401.5,6529.5,6649.6,6756.7,6888.2,7012.6,7088.2,7249.3,7348.6,7498.9,7634.7,7772.1,7916,8045.7,8321,8468,8626.3,8767.6,8890.1,9043.1,9179.2,9313.2,9446.1,9591.1,9725.3,9865.1,9999.9,10140,10281,10423,10565,10702,10842,10991,11140,11290,11418,11512,11612,11725,11846,11977,12074,12207,12329,12410,12557,12697,12845,12976,13076,13185,13298,13430,13551,13657,13782,13908,13986
