g,c,c,b,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,c,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,g
3405,3569.3,3700.4,3872.2,4015,4175,4308.2,4475,4618.5,4772,4939.2,5094.2,5234.5,5376.5,5513.1,5659.7,5815.8,5900.8,6001.4,6131.7,6223.4,6346.5,6454.7,6608.3,6722.5,6794.5,6948.4,7086.3,7249.3,7381.8,7529.1,7665.7,7792.9,7940.4,8093.1,8180,8275.3,8404.2,8495.4,8619.9,8747,8884.4,9001.5,9073.5,9231.6,9360.5,9486.8,9556.3,9707.7,9844.6,9955.4,10078,10221,10363,10502,10631,10778,10933,11018,11119,11250,11341,11466,11594,11733,11852,11923,12161,12322,12491
3450.4,3613.6,3764.3,3938.3,4086,4238.7,4380,4545,4695.9,4833.3,5001.3,5152.7,5298,5438.4,5591,5741.2,5876.9,5970.1,6073.5,6186.8,6315.4,6439,6533.8,6664.7,6785.9,6862.3,7005.8,7171.7,7301.3,7445.9,7592.4,7730.3,7873.5,8024,8155,8247.5,8346.5,8460.9,8590.2,8715,8812.6,8938.5,9063.5,9143.1,9292.7,9420.1,9527.5,9607.6,9769.1,9887.7,10000,10142,10289,10430,10566,10714,10859,10992,11089,11193,11305,11438,11561,11658,11788,11912,11992,12198,12374,12528
