c,c,c,c,g,c,g,c,c,c,c,c,c,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,d,k,l,e,e,g,i,c,e,j,j,j,i,l,l,d,f,f,i,d,k,l
4033,4189.6,4372.5,4558.4,5471.5,5617.6,6270.8,6402.5,6563.8,6721,6857.6,7008.2,7145.5,7286.3,7443.2,7598.5,7745.8,7876.8,8020.1,8169.7,8335.5,8480.8,8635.1,8779.9,8931.2,9077.8,9215.7,9347.1,9470.9,9611.2,9757.4,9841.9,9943.9,10069,10160,10286,10414,10543,10656,10727,10886,11018,11160,11306,11454,11539,11639,11766,11855,11981,12109,12242,12357,12425,12633,12783,12899,13036,13138,13251,13321,13472,13614,13747,13909,14031,14155,14291,14439,14591,14739,14824,14925,15048,15140,15261,15387,15524,15636,15704
4068.4,4231.4,4415.3,4605.2,5509.6,5653.2,6311.7,6443.8,6603.4,6766.9,6907.4,7050.8,7188.1,7344.4,7512.7,7668.3,7810.8,7950.3,8090.4,8238.3,8408.3,8551.3,8710.8,8855.8,8993.7,9139.8,9278.6,9405.9,9548.3,9690.9,9817,9917.4,10013,10119,10249,10377,10476,10598,10717,10796,10945,11095,11240,11388,11517,11605,11706,11819,11948,12075,12170,12299,12416,12495,12672,12825,12962,13076,13195,13310,13391,13535,13677,13794,13939,14080,14222,14373,14521,14673,14804,14894,14993,15102,15231,15353,15450,15579,15698,15775
