c,b,b,b,c,c,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h
131.12,272.91,458.53,609.84,2208,2355.9,2488,2622.8,2796.3,2945.2,3097.8,3255,3405.3,3542.7,3691.6,3842.1,3988,4142.6,4292.5,4439.1,4575.4,4736.9,4824.2,4921.3,5051.5,5142.5,5266.1,5391.2,5528.8,5641.6,5715,5866.4,6008.2,6125.4,6194.3,6354.8,6480.1,6623.8,6784.9,6941.2,7026.4,7128.9,7256.7,7350.7,7476.1,7602.6,7738.5,7853.1,7923.6,8091.1,8224.2
176.81,343.78,527.09,674.47,2248.3,2406.5,2546.3,2697.4,2869,3012.4,3166.4,3316.8,3466.6,3605.2,3767.4,3903.2,4049.9,4203.2,4358.1,4514.4,4661.8,4795.7,4889.8,4992.2,5107.2,5236.5,5362.7,5455.8,5584.8,5707.6,5786.8,5929.2,6062.5,6188.8,6265.9,6411.5,6557.5,6704.9,6867.2,7001.8,7097,7200.2,7310,7443.9,7573.7,7668.2,7794.2,7915.6,7995.2,8150.2,8265
