c,c,c,b,b,b,b,b,g,g,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,e,h,c,b,b,b
2205.2,2361.8,3135.9,3298.5,4221.7,4396.2,4510.9,4671.1,4987,5119.8,5273.2,5429.8,5576.9,5710.8,5855.1,5999.8,6154.1,6300.5,6444.2,6592,6750.5,6841.2,6941.3,7074.3,7171.2,7294.8,7426.5,7563.9,7679.2,7752.7,7918.7,8053.3,8200.5,8348.4,8504.5,8592.3,8690.4,8819.5,8910.8,9034.1,9162.8,9291.7,9408.7,9481.9,9639.4,9771.6,9925.7,10088,10372,10544,10664,10809,10956,11086
2228.7,2385.1,3170.5,3324.3,4259.2,4430.2,4579.5,4730.1,5024.6,5168.8,5329.3,5489.9,5635.6,5775.5,5916.6,6063.2,6213.4,6379.7,6524.2,6671.9,6809.1,6905,7003.6,7129.2,7261.2,7386.2,7483.2,7618.2,7737.5,7817.1,7982.1,8132.3,8278.2,8426.8,8561.5,8655.2,8756.6,8870.5,9002.5,9125.8,9224.4,9352.7,9469.5,9547,9692.4,9809.2,9958.7,10122,10433,10569,10687,10859,10995,11129
