c,c,c,c,c,c,c,b,b,b,b,b,c,c,g,g,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,g,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,c,e,h,g,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,c,e,h,c,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,c,g,c,b,b,b,b,c
1831,1989,2151.9,2296.1,2430.3,2588.5,2733.6,2923.1,3084.5,3243.4,3415.1,3576.2,3739,3915.4,4092,4274.4,4413.9,4584.2,4752.8,4907.3,5059.5,5213.8,5365.5,5519.4,5668.8,5821.1,5910.5,6027.2,6162.4,6260.1,6388.8,6514.9,6654.3,6771.8,6843.8,7023.8,7164.8,7305.4,7449.2,7608.4,7759.5,7908.8,7995.1,8096.2,8232.8,8325,8449.4,8583.1,8722.7,8837.2,8911.1,9070.9,9211.2,9333.9,9407.2,9584.6,9742.5,9866.8,10015,10145,10295,10454,10542,10646,10781,10876,11003,11134,11286,11406,11480,11688,11806,11946,12098,12258,12401,12529,12671,12820,12956,13111,13276,13364,13466,13597,13693,13817,13950,14089,14210,14284,14526,14647,14789,14919,15051,15203,15355,15504,15649,15781,15937,16095,16183,16288,16424,16524,16655,16789,16934,17052,17126,17306,17476,17618,17782,17910,18083,18218,18357,18507,18665,18815
1872.5,2029.8,2195.7,2338,2483.6,2638.4,2809.1,2988,3159,3314.8,3487,3645.7,3808.6,3975.9,4140.5,4322.4,4474.1,4644.2,4811.2,4965.8,5122.4,5284.7,5431.2,5600.6,5748,5881.1,5980,6093.8,6222.4,6352.1,6480.4,6580.5,6704.4,6833.6,6916.8,7066.9,7217.6,7369.6,7532.4,7688.4,7840,7969.7,8064.1,8171.4,8286.8,8416.2,8545.1,8646.5,8779.7,8901.3,8980.2,9135.7,9267.9,9397.7,9475.1,9630.5,9790.1,9927.6,10081,10226,10374,10516,10614,10717,10836,10967,11099,11199,11341,11466,11551,11727,11867,11985,12138,12298,12452,12597,12739,12884,13040,13193,13337,13435,13536,13652,13783,13913,14014,14150,14276,14355,14562,14710,14825,14964,15119,15269,15418,15567,15715,15864,16019,16158,16257,16355,16484,16620,16751,16854,16990,17115,17196,17353,17512,17657,17816,17957,18134,18290,18427,18581,18736,18865
