e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,e,h,b,e,e,e,j,j,i,l,l,d,f
3330.2,3489.7,3640.3,3783.3,3942.9,4109.2,4267.7,4420.2,4551.8,4702.6,4851.2,4938.8,5040.8,5168.1,5260.4,5382.9,5513.1,5647.6,5768.3,5840.3,5999.8,6138.6,6288.9,6437.3,6597.6,6680.2,6780,6916.7,7009,7130.9,7256.8,7391.9,7508.7,7579.1,7737.8,7870.3,7993.2,8067.8,8226.8,8360.3,8512.1,8670.2,8755.6,8855.5,8984.4,9077.3,9205.8,9520.3,9656.2,9791.8,9922.7,10073,10221,10364,10511,10665,10751,10853,10991,11087
3391.7,3559.1,3705.5,3845.4,4008,4170,4331.1,4497.2,4632,4781.7,4913,5006.5,5103.8,5218.5,5352,5474.7,5571.9,5704.2,5834.1,5910,6062.8,6215.2,6365.5,6515.1,6655,6749.8,6851.6,6968.7,7099.7,7221.9,7319.3,7445.8,7572.2,7647.4,7797,7926.7,8036.1,8113.3,8284.6,8440.1,8589.7,8725.9,8824.1,8929,9040.3,9169.4,9266.4,9585,9696.9,9832.4,9984.5,10138,10284,10446,10592,10728,10820,10921,11042,11145
