c,b,c,b,c,c,b,b,b,b,b,g,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,e,h,g,g,b,e,e,e,d,k,l,b,e,h,g,g,g,c,g,c,g
497.56,530.69,2341.3,2482.4,2668,2848.6,2986.9,3128.1,3277.1,3435.7,3595.6,3797.7,3949.9,4093.1,4254.2,4403.3,4532.6,4660.4,4815.5,4958.1,5108.7,5252.2,5410.2,5498.1,5594.8,5719.5,5814.7,5935.9,6063.6,6192.7,6306.9,6382.5,6544.2,6681.1,6792.4,6866.3,7024.1,7166.2,7333.9,7457.2,7594.5,7756.4,7876.3,8016.9,8159.3,8289.3,8406.9,8478.9,8672.8,8798.1,8927.6,9070.8,9230.4,9376.8,9521.7,9660.4,9984.5,10144
523.69,560.88,2384.8,2524.4,2708.9,2899.2,3048.5,3191.2,3337.5,3485.8,3647.4,3849.6,4007.5,4152.8,4314.8,4464.2,4592.3,4726.8,4881.5,5034.4,5182.7,5328.2,5468.3,5560.5,5660.7,5766.9,5902.4,6028.9,6123,6249.4,6368.8,6446,6601.4,6738.2,6852.1,6929.9,7085.3,7213.2,7363.1,7494.6,7642.7,7796.2,7941.8,8085.1,8222.2,8346.4,8467.1,8546.7,8721.2,8856.6,8967.2,9106.2,9262.7,9417,9562.4,9712.1,10016,10187
