c,c,b,b,b,g,g,g,g,e,e,e,g,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,b,e,e,e,j,i,i,l,l,d,f,f,i,d,k,l,e,h,g,e,h,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,g,g,h,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,c,b,b,b
1990.8,2156.5,2310.9,2492.1,2652.9,3307.6,3482,3632.2,3823.2,3965,4114.7,4275.3,4461.6,4618.7,4763.6,4872.8,5015.1,5148.2,5286,5424,5602.1,5721.5,5752.8,5874.6,6034.4,6173.1,6308.2,6464,6610.5,6741,6883.1,7020.6,7154.8,7299.3,7444.8,7596.3,7684,7779,7909.2,7998.6,8126.2,8247.7,8383.5,8499.1,8572.9,8797.9,8944.2,9064.2,9194.9,9336.5,9464.4,9597.5,9734.2,9865.2,10013,10161,10247,10346,10471,10562,10684,10812,10945,11057,11132,11286,11422,11572,11723,11867,12005,12127,12273,12422,12559,12711,12856,13004,13148,13238,13337,13467,13558,13682,13808,13949,14065,14139,14313,14442,14616,14780,14936,15070,15217,15650,15794,15933,16086,16240,16391,16476,16578,16705,16798,16928,17058,17191,17305,17377,17535,17685,17830,17952,18091,18248
2028.9,2186.3,2350.7,2532.1,2681.3,3349.2,3520.2,3671,3873.3,4019.9,4172.1,4334,4506.5,4654.7,4801.2,4937.9,5082.9,5215.2,5356.1,5493.7,5631,5741.6,5783.8,5932.4,6096.5,6241.3,6376.4,6515.3,6670.3,6800.2,6940.9,7082.5,7233.6,7375.3,7525.1,7653.6,7746.8,7845.3,7959.2,8096.6,8220.1,8311.3,8432.2,8555.7,8632.8,8840.7,8984.6,9122.3,9230.4,9381.9,9529.7,9660.4,9800,9941.5,10086,10221,10311,10411,10520,10651,10782,10875,11004,11120,11197,11346,11456,11610,11781,11905,12043,12189,12338,12487,12641,12792,12934,13081,13207,13303,13404,13521,13653,13778,13871,14004,14126,14203,14368,14480,14652,14818,14977,15117,15247,15704,15860,16008,16165,16318,16452,16542,16644,16757,16880,17023,17117,17242,17364,17443,17599,17722,17876,18013,18158,18307
