c,c,b,b,b,b,e,e,g,g,e,g,b,e,g,b,b,b,b,g,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,g,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,b,e,e,b,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,b,e,h,h,b,b,b,b,b,b,b,e,e,d,k,l,e,j
1979.2,2118.6,2289.3,2454.9,2626.1,2807.4,2964.9,3148.7,3381.1,3548.2,3711.2,3896.6,4248.3,4378.2,4540.7,4817.2,4974.7,5123.2,5269.4,5404.5,5542.6,5696.3,5835.3,5965.7,6111.8,6258.5,6344.1,6442.2,6562.8,6653.7,6775.3,6900.4,7032.2,7112.3,7213.2,7376.7,7509.5,7644.9,7754,7902.4,8038.2,8181,8325.2,8475.1,8559.3,8662.1,8789.8,8882.2,9006.5,9133.9,9266.4,9383.7,9458.1,9766.9,9900.2,10017,10132,10207,10386,10554,10667,10811,10963,11092,11231,11368,11503,11644,11791,11879,11976,12100,12191,12318,12445,12575,12687,12759,12960,13074,13205,13347,13499,13626,13760,13902,14055,14195,14335,14479,14633,14782,14930,15085,15236,15367,15481,15554,15703,15831
2028.6,2152.1,2350.9,2513.7,2685.2,2829.9,3019.6,3208.4,3432.2,3599.7,3767,3946.9,4282.2,4442.9,4581.3,4876.5,5036.4,5172.9,5310,5454.4,5610.8,5765.1,5901.3,6043.8,6189.4,6315.4,6410,6505.6,6613.7,6739.9,6866.8,6963.2,7083.4,7199.9,7279.5,7437.5,7543.8,7668.6,7818.5,7966.8,8117.3,8258.5,8405.9,8533.3,8626.6,8724.8,8836.7,8970.5,9096.3,9194.4,9326.7,9441.8,9519.2,9835.5,9940.2,10067,10189,10268,10425,10590,10730,10876,11022,11159,11297,11438,11572,11720,11848,11942,12043,12156,12283,12409,12508,12633,12748,12824,12996,13139,13242,13382,13534,13692,13799,13931,14102,14260,14403,14549,14701,14850,14992,15150,15300,15419,15544,15621,15767,15911
