c,c,c,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,g,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,g,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,d,k,l,g,g,g,g,g,b,e,e,j,j,i,l,l,d,f
2244.9,2404.4,2570.2,2717.7,2854,3009.4,3152.2,3302.3,3467.6,3648.5,3793.4,3938.9,4104.4,4265.2,4416,4549.2,4696.4,4842.5,4988.7,5130.3,5282.8,5428.8,5557.8,5688.6,5830.6,5971.2,6121.3,6264.7,6417.7,6557.9,6693.9,6829.8,6981.7,7127.7,7212.6,7311,7440.7,7531.2,7655.7,7786.3,7917.3,8034.5,8106.1,8258.5,8382.5,8525.8,8673.3,8828.7,8913.5,9014.3,9140.6,9235.2,9363,9488.3,9623.6,9744,9812.9,9976.3,10107,10230,10350,10416,10574,10699,10826,10898,11088,11249,11408,11552,11707,11865,11987,12139,12276,12421,12579,12668,12776,12901,12995
2271.6,2449.8,2614.5,2761.6,2908.8,3075.5,3222.3,3371.7,3538.8,3716.4,3865.1,4009.9,4170.2,4330.9,4484.3,4611,4759.2,4905.3,5057,5185.3,5324.9,5477.7,5624.9,5763.6,5901.9,6047.9,6187.4,6328.6,6482.2,6621.3,6768.9,6906,7058,7189.3,7280.4,7381.8,7495.2,7624.7,7751.6,7847.7,7972.3,8093.1,8173.8,8318.6,8462.7,8605.8,8752.8,8888.4,8982.7,9085.8,9195.6,9327.5,9454.7,9549.4,9676.9,9800.6,9880.2,10037,10152,10284,10401,10482,10636,10755,10884,10963,11128,11282,11448,11602,11746,11910,12047,12202,12357,12500,12633,12737,12840,12955,13087
