c,c,c,c,b,b,b,b,b,b,e,e,e,e,g,d,b,g,e,g,b,b,b,b,b,b,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2627.7,2775.3,2907.9,3042.5,3217,3421,3557.1,3734.6,3882.3,4008,4169.6,4321.9,4466.8,4600.7,4747.2,4893.3,5103,5236.7,5406.8,5580.1,5719.1,5851.8,5979.8,6126.1,6275.7,6452,6597.8,6723.8,6865.2,7007.9,7158.8,7305.4,7393.8,7496.2,7628.4,7719.5,7843.5,7970.4,8105.7,8219.5,8294.7,8463.5,8603.7,8746.8,8896.7,9053.2,9138.3,9244.2,9370.4,9464.6,9588.7,9715.6,9858.5,9978.5,10052,10208,10343,10493,10646,10805,10896,10992,11124,11217,11341,11473,11610,11738,11810
2668.4,2813.8,2951.8,3097.4,3285.8,3483,3616.7,3759.7,3918.6,4074.8,4236.7,4384.6,4540.4,4667.8,4804.1,4946.2,5128.4,5293.4,5472,5624.2,5754.6,5915.8,6049.4,6192,6343.1,6485,6638.2,6791.4,6943.8,7088.7,7241.1,7364.5,7462,7560.5,7678.9,7813.6,7940.2,8034,8164.7,8285.5,8360,8527.4,8682.4,8827.1,8980.6,9113.3,9210.8,9313,9428.1,9556.8,9681.6,9778.6,9916.6,10038,10119,10272,10424,10574,10727,10864,10959,11063,11179,11312,11437,11537,11671,11798,11876
