e,c,c,c,c,c,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,d,k,l,d,b,e,e,d,h,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2532.6,2716.8,2875,3014.8,3136.6,3285.5,3440.8,3581.9,3723,3865.1,4009.8,4151.6,4284.4,4426.7,4561.6,4706.1,4857.6,5009.2,5092.8,5190.6,5318.9,5408.5,5528.2,5650.6,5783.5,5894.7,5963.2,6118.6,6245.8,6396.8,6481.8,6582.4,6883,7030.5,7155.6,7301.1,7439.3,7571.6,7712.6,7853.8,7937.2,8036,8163.6,8254.8,8378.7,8502.1,8636.4,8759.6,8828.9,8977,9108.2,9237.3,9361.8,9433.6,9590,9717.3,9831.1,9902.7,10066,10380,10506,10656,10787,10917,11033,11158,11291,11434,11579,11725,11808,11909,12037,12126,12249,12376,12511,12627,12701
2585.8,2758.9,2916.6,3056.5,3184.3,3350.2,3510.1,3650.5,3782.2,3947.4,4073.4,4216.1,4363.8,4491.3,4640.9,4787.3,4939.4,5069.6,5163.5,5260,5374.6,5500.4,5621.8,5712,5838.4,5956.2,6033.1,6179.7,6323.2,6457.7,6554.3,6654.8,6926.4,7077.9,7222.8,7362.2,7508.2,7647.2,7789.8,7914.2,8005.6,8107.1,8214.3,8346.9,8470.9,8565.7,8690.2,8800.7,8879,9034.7,9151,9288.9,9424.5,9500.6,9647.6,9773,9896.8,9974.9,10118,10432,10570,10725,10845,10961,11079,11227,11373,11513,11660,11785,11879,11980,12094,12220,12345,12438,12560,12692,12771
