b,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,g,b,b,b,b,b,b,b,b,b,e,e,j,j,i,l,l,d,g,g,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,g,g,h,g,b
3731.7,3864.8,4060.3,4212,4495.8,4667.8,4803.4,4991.8,5253.7,5406.6,5559.9,5692.3,5834.6,5988.2,6142.2,6290.9,6592.5,6752.9,6881,7017.9,7169.1,7307.8,7455.6,7586.9,7737.1,7878.7,8036.4,8185.2,8326.2,8470.8,8627.4,8715.5,8816.7,8964.5,9125,9272.2,9439.7,9543.9,9684.8,9826.3,9962.7,10101,10251,10402,10490,10589,10718,10810,10937,11066,11199,11317,11388,11539,11677,11831,11985,12071,12173,12298,12394,12518,12707,12864,13012,13353,13510
3752.6,3887.3,4102,4246.4,4535.9,4709.8,4856.1,5020.2,5322.9,5465.4,5620.1,5752.2,5895.7,6049.8,6215.4,6360.2,6642.2,6806.5,6945.5,7087,7236.2,7375.8,7520.2,7662.2,7801.4,7949.5,8100,8249.4,8407.2,8549.2,8683.1,8777.4,8881.3,8997.2,9166.4,9320.3,9460.2,9602.2,9745.9,9887.8,10025,10180,10332,10456,10555,10660,10769,10904,11035,11123,11256,11375,11457,11600,11761,11914,12043,12137,12238,12355,12487,12572,12747,12916,13048,13394,13550
