c,c,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
1203.5,1372.6,1858.1,1972.2,2125.9,2309.5,2471.9,2618.6,2765.5,2919.8,3060.8,3200.2,3353.1,3504.9,3591.7,3694.1,3819.5,3911.6,4037.3,4165.8,4298,4409.3,4479.3,4639.2,4770.8,4916.2,5066.8,5153.1,5249.7,5377.1,5466.5,5589.1,5714.8,5844.7,5963.9,6037.2,6195.7,6344.8,6472,6617.5,6764.6,6851.1,6953.2,7079.1,7171.5,7294.7,7424.9,7563.8,7684.1,7754.3,7896.8,8027.6,8133.6,8253.2,8325.6,8494.1,8668.5,8790,8939.8,9083.3,9235.8,9369.9,9519.8,9667.1,9752.7,9850.7,9977.7,10072,10195,10324,10463,10578,10651
1223.7,1400,1892.7,2031.6,2190.8,2368.5,2529.6,2681.8,2830.9,2981.6,3134,3277.3,3431.6,3560.8,3655.1,3757.2,3867.7,4000.6,4128.8,4225,4350.3,4469.4,4545.1,4698.1,4848.1,4994.1,5125.5,5217.8,5317.2,5424.2,5559,5681.8,5776.1,5897.7,6019.7,6096.7,6256.7,6410.4,6547.1,6695.8,6825.2,6918,7014.4,7128.9,7262.9,7388.5,7484,7617.4,7722.9,7802.3,7956.8,8066.5,8183.4,8314.4,8391.6,8542.9,8705.3,8853.9,9004.7,9148.5,9299.6,9448,9597.1,9723.4,9819.5,9921.4,10032,10166,10292,10385,10516,10644,10719
