c,c,c,c,c,c,c,c,b,b,b,b,e,e,e,e,e,e,j,j,j,i,k,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,h,l,b,e,h,d,k,l,g,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,c,e,h,h,b,b,b,b,b
215.84,6027.4,6193.6,6340.8,6483.7,6642.6,6777.7,6908.5,7079.2,7258.6,7419.2,7563,7729.6,7918.9,8090.7,8248,8399.1,8546,8696,8839.6,8981.8,9138.2,9225,9329,9455.6,9549.2,9676.1,9805.7,9949.2,10065,10138,10302,10442,10589,10741,10896,10988,11088,11219,11314,11438,11564,11697,11814,11885,12049,12185,12335,12487,12573,12674,12806,12900,13023,13156,13312,13480,13619,13749,13886,13996,14111,14186,14438,14571,14699,14843,14986,15124,15274,15433,15519,15625,15758,15850,15976,16107,16240,16368,16438,16658,16824,16942,17083,17251,17464,17571,17708,17857,18018
251.16,6051.3,6223.6,6368.5,6519.1,6680.6,6816.6,6973.6,7153.3,7327.6,7484.7,7635.5,7790.2,7980.3,8156.3,8310.4,8458.6,8607.3,8771.3,8922,9061.9,9195.3,9293.4,9393.6,9503.3,9639,9769.2,9870,10003,10125,10205,10366,10522,10669,10824,10960,11052,11156,11279,11404,11530,11624,11750,11876,11957,12108,12265,12416,12549,12641,12739,12856,12987,13121,13214,13351,13511,13668,13812,13922,14051,14174,14253,14478,14613,14767,14913,15055,15204,15356,15494,15590,15691,15811,15944,16070,16172,16303,16423,16503,16683,16855,17008,17121,17285,17491,17639,17781,17927,18090
