g,c,c,c,c,c,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,b,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,c,g,g,g,g,b,e,g,b,e,h,c
2339.2,2512.2,2680.3,2828.1,2967.1,3129.7,3283.8,3429,3565.8,3717.7,3885,4040.7,4176.9,4343.4,4518.9,4691,4830.5,4974.9,5119,5256.4,5409.5,5558,5706.9,5862.5,5947,6047,6173.7,6265.1,6391,6521.6,6662.1,6775.5,6845.3,6999.7,7130.5,7281.4,7429.9,7514.5,7614.8,7739.9,7831.2,7956.4,8086.3,8219.8,8332.7,8405.1,8560.2,8690.1,8807,8920.4,8991.7,9146.2,9275.3,9398.1,9517.6,9670.9,9806.2,9943.4,10085,10228,10375,10518,10664,10746,10848,10977,11068,11193,11321,11457,11571,11641,11795,11923,12038,12152,12225,12379,12508,12628,12700,12853,12984,13133,13282,13439,13524,13626,13754,13845,13971,14102,14246,14361,14435,14591,14727,14856,14978,15156,15322,15471,15630,15764,15893,16033,16218,16351,16500,16647
2373.5,2538.1,2708.6,2867.6,3009.9,3173.3,3330.8,3479.1,3635.6,3788.2,3952.1,4109.2,4247.8,4412.4,4582.5,4747.8,4902.1,5038.1,5179.9,5317.2,5471.6,5638.3,5786.4,5922.3,6014.2,6115.2,6222.8,6355.8,6486.1,6582.7,6714.7,6835.1,6912.8,7056.5,7211.5,7357,7489.2,7582.4,7679,7791.8,7925.6,8050.6,8149.1,8274.3,8393,8473.2,8621,8727.5,8859.2,8976.1,9060,9203.2,9317,9441.8,9581.1,9732.1,9871.8,10019,10166,10304,10457,10598,10724,10818,10917,11027,11159,11286,11383,11511,11628,11708,11855,11962,12092,12216,12293,12442,12566,12695,12769,12913,13063,13212,13362,13499,13592,13691,13802,13936,14063,14165,14299,14424,14502,14647,14768,14909,15033,15200,15363,15511,15666,15812,15954,16076,16262,16410,16535,16691
