i,g,g,g,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,h,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,g,g,b,e,e,e,e,e,j,i,l,l,d,f,f,l,g,h,b,b,b,b,b,b,b,b,c,b,b,b,b,b,e,e,e,e,j,i,l,l,d,f
230.16,2656.4,2822.4,2984.4,3132.8,3290.8,3443.1,3584.8,3725.7,3857.1,3994.9,4144.3,4225.9,4326.5,4455.9,4544.3,4667.1,4794.8,4929.2,5051.1,5115.6,5261.7,5389.7,5549.8,5662.9,5789.6,5916.9,6066,6214.8,6359.9,6445.2,6541.5,6669.2,6759.5,6880.7,7006.9,7136.2,7257.8,7328.4,7480.5,7611.2,7752.4,7873.9,8011.8,8148.8,8279.7,8406.3,8544.4,8690.8,8777.3,8876,9004.4,9094.6,9215.5,9340.8,9475.4,9586.8,9658.4,9810.9,9936.9,10052,10123,10277,10408,10557,10706,10857,10984,11127,11265,11401,11560,11700,11857,11941,12044,12175,12266,12390,12532,12643,12812,12958,13081,13216,13362,13497,13645,13791,13925,14073,14232,14380,14515,14661,14813,14961,15101,15235,15372,15513,15669,15753,15862,15987,16078
295.94,2696,2865.8,3045.6,3187.9,3362.5,3514.3,3658.6,3799.8,3935.2,4074.9,4204.5,4295.1,4397.3,4510.8,4633.7,4759.3,4857.2,4987.6,5107.2,5188.7,5327.1,5461.5,5592.2,5712.5,5856.7,6001.4,6142.8,6293.2,6420.9,6513.8,6609.5,6723.3,6850.6,6974.3,7070.6,7194,7298.1,7378.6,7544.7,7650.5,7798.5,7936,8079.9,8216.4,8343.7,8486.8,8626,8752.7,8847.3,8949.7,9060.1,9184,9311.9,9404.2,9529.9,9649.7,9728.4,9875.7,9995.1,10114,10192,10337,10450,10600,10752,10900,11048,11192,11334,11469,11626,11779,11917,12013,12116,12224,12359,12451,12557,12709,12861,13008,13154,13287,13433,13569,13719,13859,13988,14144,14308,14451,14591,14734,14883,15022,15168,15304,15435,15590,15729,15824,15930,16037,16132
