c,c,c,c,c,b,b,b,b,g,g,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h
3105.5,3256,3416,3584.2,3725.9,3853.2,4002.2,4156.9,4286.4,4519.3,4688.3,4867.7,5037.3,5202.4,5359,5512.1,5658.7,5812.9,5966.5,6115.9,6201.9,6300,6433.2,6525.7,6648.3,6778.5,6915.2,7033,7104.5,7258.4,7409.3,7561.8,7715.3,7801.1,7899.1,8031.3,8123.5,8246.6,8372.3,8509.2,8631.7,8702.8,8869.2,9002.5,9126.9,9256.8,9400.8,9554.1,9691.9,9831.4,9983.9,10134,10221,10328,10455,10548,10673,10802,10938,11053,11124,11275,11408,11527,11600,11758,11900
3139,3306.2,3460.1,3634.7,3770.5,3919.7,4072.3,4219.9,4360.5,4556.7,4739.4,4927.8,5101.3,5265.2,5421.2,5585.2,5738.2,5896.6,6044.9,6176.3,6271.9,6368.8,6487.7,6617.8,6745.8,6844.1,6969.5,7098,7175.3,7321.5,7490.1,7644.8,7775.4,7867.8,7968.8,8082.7,8215.5,8341.3,8437,8565.1,8676,8757.6,8932,9043.8,9176.8,9321,9463.6,9618.8,9760.6,9909.3,10066,10194,10293,10400,10514,10643,10769,10870,10994,11117,11198,11336,11465,11594,11686,11820,11941
