l,c,c,b,c,c,b,b,b,b,b,b,c,g,g,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,g,k,g,g,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l
1995.7,3828,3985.3,4122.3,5099.2,5241.1,5383.2,5525.6,5684.1,5870.1,6013.5,6155.3,6317.9,6472,6639.2,6807.9,6959.7,7133,7284.4,7436,7573.2,7719.7,7866.9,8026.6,8115.5,8217.5,8340.4,8435,8560.1,8687.3,8822.2,8939.4,9009.8,9171.9,9301,9434.6,9564.5,9718.3,9888.9,10050,10198,10344,10486,10621,10770,10914,11061,11219,11308,11403,11531,11622,11746,11871,12000,12118,12189
2016.9,3884.2,4021.9,4175.8,5129.7,5276.8,5440.2,5587.3,5746.6,5911.4,6057.3,6218.6,6339.7,6517.7,6696.9,6868.1,7019.2,7195.2,7345.2,7498.2,7650.8,7798,7945,8082,8176.9,8285.3,8393.2,8528.5,8655.5,8744.8,8876.2,8997.7,9070.5,9232.2,9340.5,9481.4,9625.2,9766.6,9931.9,10092,10241,10406,10548,10699,10852,10989,11139,11274,11370,11473,11583,11712,11841,11933,12058,12178,12255
