g,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,g,g,b,b,b,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,g,b,e,h,d,k,g,b,e,h,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,g,e,h,b,b,e,e,d,k,l,e,g,g,g,g,c,g,c,e,e,j,j
2545.5,2697.6,2824.8,2962.9,3127,3267.5,3410.5,3548,3699.3,3865.3,4021.8,4169.4,4339.8,4495.1,4649.8,4787.7,4929.9,5077,5223.9,5400.2,5550.2,5720.6,5840.3,5974.5,6106.7,6249.2,6393.6,6534.3,6678,6826.3,6960.7,7114.8,7266.4,7349.8,7451.8,7579.7,7669.2,7795,7918.4,8057.2,8173,8242.2,8395.1,8523.6,8667.8,8810.2,8894.4,8997.9,9125.2,9216.7,9342.7,9467.6,9603.3,9717.8,9792.6,9950.5,10081,10199,10270,10445,10586,10747,10898,11027,11162,11270,11402,11617,11777,11897,12037,12159,12281,12424,12567,12717,12875,12958,13065,13192,13283,13408,13536,13666,13784,13858,14073,14235,14370,14515,14630,14762,14905,15047,15179,15303,15374,15541,15730,15897,16053,16236,16396,16548,16692,16829,16978,17106,17266
2577.6,2728.2,2865.9,3003.4,3171.1,3323.4,3474.1,3614.5,3775.2,3933.7,4095.7,4235.7,4402.3,4560.4,4712.2,4850.6,4992.9,5138,5287.7,5452.8,5590.9,5768.2,5905.6,6045.2,6178.6,6325.3,6463.7,6610.6,6743,6889.3,7039.9,7190.5,7325.1,7419.2,7520.3,7630.5,7761.6,7889.5,7980.2,8112.2,8230.8,8311.2,8455.7,8603.9,8745.5,8872,8965.9,9069.9,9182.1,9312.5,9435.4,9532.7,9658.3,9778.5,9860.2,10012,10137,10260,10344,10506,10629,10778,10947,11089,11201,11326,11458,11653,11818,11961,12076,12205,12343,12488,12645,12801,12933,13029,13131,13243,13376,13502,13598,13723,13845,13926,14116,14278,14433,14554,14685,14828,14971,15115,15239,15363,15443,15583,15765,15932,16091,16267,16439,16582,16742,16891,17040,17183,17344
