k,c,c,c,c,b,b,c,c,e,e,e,e,e,e,e,c,b,b,b,b,c,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,g,c,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,c,g,g,c,b,b,b,b,e,e,e,e
568.56,2949.2,3096.7,3240.1,3422.9,3584.1,3723.7,3890.9,4103.8,4266.2,4439.1,4598.8,4742.4,4895,5043.3,5225.9,5407.6,5583.8,5711,5867.7,6021.3,6188.9,6343.3,6499.1,6650.7,6793.5,6920.1,7062.2,7213.1,7297.9,7396.3,7529.9,7622.1,7746.7,7879.2,8019.7,8136,8208.3,8379.4,8519.6,8670.7,8824.1,8912.2,9015.6,9145.1,9236.5,9361.3,9491.9,9619.7,9741.1,9815.8,9985.3,10119,10271,10421,10671,10824,10951,11096,11234,11368,11515,11672,11759,11860,11990,12084,12208,12335,12470,12587,12660,12828,12964,13112,13267,13353,13462,13592,13687,13818,13952,14103,14224,14298,14523,14646,14799,14974,15125,15278,15457,15610,15738,15876,16027,16190,16333,16480,16631,16789
612.41,2975.6,3125.5,3281.2,3474.7,3641,3796.5,3957.9,4176.5,4327.4,4500.8,4659.8,4802.9,4959.4,5112.8,5286,5450.9,5631.9,5780,5937.1,6099.6,6256.8,6415.9,6565.1,6713.8,6858.8,6998.7,7144.2,7271.3,7365.6,7463.8,7579.9,7713.9,7842.5,7943.6,8075.6,8198.5,8277.3,8441,8600,8752.2,8884.7,8981.6,9086.1,9199.2,9327.5,9457.1,9547.5,9680.4,9806.9,9884.3,10045,10161,10304,10472,10720,10870,11015,11160,11299,11445,11594,11729,11827,11932,12045,12176,12299,12396,12527,12648,12728,12890,13045,13191,13326,13427,13529,13650,13784,13911,14016,14157,14285,14367,14556,14705,14837,15011,15169,15320,15500,15632,15800,15940,16096,16233,16396,16546,16695,16850
