c,c,c,c,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,e,j,i,c,b,b,b,b,b,b,b,b,b,c,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,g,b,e,e,e,e,j,i,l,l,d,f,f,h,g,b,e,h,c,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,j,j,i,l
2163.6,2329.5,2495,2620.2,2793.7,2952,3102.6,3270,3403.3,3578.9,3740.1,3889.8,4065.6,4240.7,4394.6,4544.3,4685.7,4826.2,4957.1,5104.7,5250.5,5395.2,5565,5716.6,5880.4,6024.4,6160.8,6295.3,6438.9,6578.6,6723.8,6860.9,7004.6,7148.4,7294.8,7445.1,7592.5,7734.8,7879.5,8015.8,8158.7,8306.9,8456,8540.6,8640.8,8768,8858,8981.6,9106.7,9238.6,9353.1,9424.2,9554.5,9708.2,9828.9,9899.8,10039,10189,10345,10500,10586,10691,10815,10909,11032,11163,11299,11412,11485,11687,11845,11984,12103,12245,12386,12530,12661,12819,12905,13009,13137,13229,13357,13492,13670,13841,13980,14120,14248,14384,14529,14671,14812,14961,15113,15198,15305,15441,15534,15662,15788,15930,16049,16121,16343,16498,16636,16776,16921,17077,17240,17327
2193.3,2372.1,2539.8,2665.2,2837.6,2999.2,3172.3,3333.3,3480.4,3650.6,3806.7,3960.8,4140.1,4314.8,4454.2,4609.5,4748.6,4884.7,5022.3,5169.2,5327.1,5459.9,5628.3,5793,5927.6,6045.2,6217.7,6366.2,6509.6,6649.9,6792.8,6939.5,7084.6,7226.2,7366.8,7516.8,7670.4,7805.2,7948.5,8094.3,8238,8392.1,8516.5,8610.8,8710.4,8818.3,8948.8,9073.3,9171.3,9288,9415,9496.6,9639.1,9766,9886.7,9969.2,10115,10270,10427,10562,10658,10761,10866,10999,11127,11224,11355,11475,11558,11733,11890,12026,12162,12312,12455,12590,12742,12879,12975,13078,13194,13323,13450,13539,13708,13892,14044,14161,14297,14451,14597,14735,14894,15041,15172,15268,15376,15494,15625,15755,15856,15984,16107,16202,16383,16552,16712,16844,16999,17155,17292,17389
