g,g,b,c,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,c,e,h,k,l
2564.4,2766.4,2921.7,3056.3,3213.6,3362.7,3500,3666.6,3813.5,3951.8,4080.9,4213.7,4345.4,4487.4,4633.4,4716.3,4814.1,4947.8,5037.8,5161.5,5284.1,5413.9,5529.3,5600.8,5758,5887.3,6033.4,6184.3,6270,6369.5,6498.2,6589.7,6713.2,6840.4,6975.4,7089.3,7156.5,7310.5,7439.7,7586.8,7744.5,7901,7988.7,8088.1,8218.7,8312.5,8437.6,8567,8703.1,8822.6,8893.8,9088.2,9198.4,9329,9441.3,9579.4
2619,2820.2,2965.9,3122.6,3282.7,3432.9,3574.3,3734.5,3873.3,4014.9,4144.7,4278.1,4425.2,4567,4694.1,4784.8,4885.2,5005.1,5132.2,5255.2,5348.3,5471.7,5592.3,5672.4,5824.1,5965,6112.5,6244.8,6340.2,6441.2,6555.3,6680,6808.1,6904.3,7031.5,7151.1,7229.6,7373.8,7521.5,7665.7,7824.8,7963.2,8058.2,8160.1,8275.3,8403,8533.3,8629.2,8759.7,8884.8,8964,9124.2,9261.5,9371.4,9501.4,9601.4
