c,c,c,c,g,g,g,e,e,e,e,e,e,e,j,j,j,i,k,l,d,f,f,i,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g
3123.8,3283.2,3469,3612,3940.1,4095.5,4268.9,4459.7,4620.2,4786.4,4938.6,5087.6,5235.6,5386.8,5540.8,5684.6,5838.5,5981.4,6065.3,6163.6,6290.7,6380.8,6508.8,6634.6,6787.6,6911,7043.6,7196.2,7346.4,7482.2,7629.1,7775.1,7857.7,7959.3,8083.9,8172.5,8292.7,8416.1,8550.6,8662.7,8729.7,8884.6,9013.1,9129.1,9199.5,9352.9,9482.1,9608.9,9737.7,9882,10019,10159,10312,10395,10494,10618,10709,10831,10961,11095,11209,11279,11457,11582,11736,11901,12043,12168,12318,12467,12633,12770,12922,13066,13213,13296,13399,13523,13615,13736,13865,14006,14121,14192,14420,14610
3155.7,3319.1,3509.1,3652.5,3986.4,4136.9,4313,4520.8,4687.2,4845.3,4998.5,5159.3,5296.8,5447.1,5617.5,5764.9,5915.5,6040.8,6134,6233.3,6340.3,6471.8,6595.7,6694.8,6836.3,6959.9,7106.1,7259.5,7412.4,7561.8,7708.8,7833.3,7924.5,8027.3,8132.8,8261.1,8384.9,8479.1,8608,8722.6,8799.9,8947.1,9070.3,9187.1,9265.1,9415.1,9521.6,9655.1,9800.1,9947,10096,10238,10372,10463,10565,10674,10802,10929,11024,11153,11271,11346,11515,11623,11774,11942,12086,12232,12380,12531,12695,12848,13001,13146,13275,13369,13470,13582,13707,13831,13926,14062,14185,14261,14462,14643
