c,c,c,c,c,c,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,b,e,h,g,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,e,g,b,e,h,c,c,e,e,e,j,j,j,i,l,l,d,f,f
2352.2,2483.6,2613.3,2746.6,2901.9,3036.7,3165.5,3310.2,3449.2,3613.2,3766,3937.7,4077.3,4219.4,4368.4,4512.8,4662.3,4799,4941.2,5091.3,5234.7,5320.4,5417,5544.7,5633.6,5752,5876.8,6012.5,6122.5,6192,6341.9,6474.1,6622.2,6765.5,6912.8,6997.4,7096.4,7220.6,7309.5,7431.8,7554.6,7686.8,7795.5,7868.5,8019.5,8149.1,8294.1,8442.5,8527.9,8629.8,8753.8,8842.7,8965.4,9092,9223.3,9340,9408.3,9556.3,9690.4,9802.8,9918.3,9990.8,10175,10285,10420,10570,10712,10831,10976,11113,11243,11387,11536,11686,11835,11920,12020,12149,12238,12363,12490,12624,12741,12812,12970,13096,13220,13338,13415,13560,13712,13872,14050,14176,14313,14454,14594,14738,14895,15039,15175,15322,15474,15626,15710,15812,15937,16028,16155
2373.5,2519.2,2649.5,2789.4,2948.9,3090.8,3233.5,3368.7,3513.4,3677.8,3826.4,4000.7,4140.4,4282.1,4431.2,4574.5,4724.1,4876.2,5021.5,5170.5,5295.6,5385.8,5485,5593.7,5723.5,5845.6,5933.2,6064.1,6184.8,6262.5,6400.9,6551.3,6699.8,6847,6976.2,7061.6,7163.5,7274.3,7401.1,7522.7,7616.8,7738.3,7857.2,7935.9,8077.2,8230.7,8372.4,8501.6,8594.6,8693.8,8805.6,8934.9,9057.5,9152.2,9273.2,9381.4,9459.1,9619.1,9731.9,9859.5,9983,10051,10211,10343,10462,10605,10753,10895,11038,11175,11320,11466,11616,11766,11895,11991,12091,12201,12327,12457,12555,12679,12804,12882,13025,13137,13277,13397,13475,13622,13773,13921,14094,14238,14356,14498,14632,14800,14951,15101,15250,15401,15554,15685,15779,15880,15992,16119,16249
