c,b,c,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,b,e,e,g,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,i,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f
2753.3,2910.7,3060.5,3198.1,3326.4,3477.8,3617.6,3783.7,3910.5,4060.2,4220.7,4348.5,4494.9,4621.5,4757.9,4894.2,5035.2,5178.7,5308.3,5448.1,5592.2,5732.7,5817.9,5918.3,6042.3,6133.7,6252.7,6379,6508.9,6622.2,6691.7,6845.6,6973.9,7117.4,7264.2,7409.2,7493.3,7589.3,7715.4,7807.8,7929.6,8057.7,8186.5,8306.4,8378.8,8567.1,8683,8815,8958.2,9075.3,9215.3,9354.7,9509.1,9613.8,9730.7,9796.5,9957.8,10086,10240,10395,10484,10580,10707,10799,10924,11049,11183,11299,11373,11534,11659,11814,11966,12085,12233,12388,12529,12663,12810,12956,13105,13259,13347,13447,13572,13664,13792
2787,2950.6,3111.8,3253.3,3400.8,3544.6,3689.9,3829,3977.4,4116.8,4263.8,4424.2,4570.6,4687.7,4816.2,4954.1,5098.3,5247.4,5386.2,5527.3,5670.2,5792,5884.6,5980.3,6092.4,6221.4,6343.2,6440.6,6562.6,6683.5,6762.3,6904.2,7050.5,7195.5,7342.3,7467.3,7559.3,7659.2,7769.6,7899.9,8024.7,8119.1,8241.1,8366.2,8442.9,8593.4,8746.9,8857.8,8997.6,9138.8,9278.5,9405.8,9542.3,9669.7,9791.2,9868.9,10024,10168,10317,10454,10547,10650,10759,10893,11018,11111,11238,11360,11442,11596,11699,11849,12003,12152,12299,12456,12605,12741,12888,13035,13185,13322,13412,13512,13628,13759,13845
