c,b,c,b,c,g,g,g,g,b,b,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2308.6,2462.8,2583.7,2707.6,2874.2,3651.1,3802.8,4006,4185.4,4362.2,4496.8,4676.7,4810.1,4941.2,5096.7,5226.5,5367.3,5511.6,5684.8,5827.2,5975.3,6122.5,6276.2,6401.7,6540,6682.8,6832.4,6924.6,7022.6,7148.5,7242.2,7365.2,7493.7,7630.4,7752.3,7821.5
2336.7,2483.5,2617,2762.8,2920,3690.9,3835.2,4049.8,4232.8,4407.7,4567.5,4713,4849.5,5002.8,5153.9,5299.9,5435.7,5584.4,5759.5,5888,6034.5,6182.1,6339.7,6476.3,6621.8,6763.4,6893.5,6986.4,7086.8,7199,7335.9,7455.9,7555.8,7687.8,7808.7,7886.1
