c,c,b,c,c,b,b,b,c,g,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g,c,e,h,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,b,e,h,d,k,l,b,e,h,d,k,l,g,b,b,b,b,b,e,j,g,c,g,g,g,g,g,e,h,b,b,b,b,e,e,e,j,j,i,l,l,d,f,f,e,h,d,k,l,f
527.03,678.72,849.69,1013.6,2883.4,3042,3205.7,3391.4,3563.8,3730.5,3909,4079,4227.9,4380,4532.3,4680.5,4837.8,4973.2,5120.2,5280.1,5427,5516.9,5613.8,5740.5,5833.2,5960,6088.5,6225.3,6347,6413.9,6606.6,6750.2,6907.8,7035.1,7180.3,7289.2,7425.2,7572,7708,7845,7978.8,8119.2,8262,8430,8564.5,8721.1,8869.9,9007.1,9141.8,9279.6,9418.7,9548.4,9680.8,9819.9,9964.6,10120,10265,10352,10450,10577,10670,10907,11020,11154,11269,11383,11456,11644,11760,11897,12020,12140,12213,12418,12563,12684,12820,12962,13106,13245,13387,13558,13704,13861,14028,14188,14364,14527,14681,14812,15103,15234,15370,15512,15663,15805,15939,16074,16219,16375,16458,16560,16685,16779,16902,17507,17639,17754,17867,17941,18149
552.53,698.97,905,1035.5,2932,3104.5,3272.4,3445.7,3603.3,3782.3,3965.6,4140.3,4289.2,4440.8,4589.6,4746,4899,5049,5194,5356.1,5482.9,5576.9,5676.1,5791,5923,6052.7,6147.5,6279.2,6398.7,6474.1,6645.9,6790.4,6949.8,7096.2,7218,7355.1,7492.6,7638.1,7775.7,7914.9,8051.8,8194,8334.5,8477.3,8630.5,8775,8933,9074.4,9208,9339.7,9478.8,9611.4,9760.2,9897.6,10044,10199,10322,10417,10514,10629,10762,10948,11083,11193,11327,11446,11522,11680,11821,11935,12075,12198,12301,12450,12602,12745,12890,13028,13166,13310,13466,13602,13758,13900,14073,14224,14394,14574,14743,14850,15154,15300,15435,15578,15728,15865,16003,16149,16297,16429,16524,16622,16737,16873,16998,17571,17684,17807,17925,18005,18173
